employee_id,area,job_title,city,tenure_months,monthly_salary
E0001,Marketing,Content specialist,Guadalajara,27,23200
E0002,Marketing,Campaign analyst,Monterrey,37,42800
E0003,Finance,Controller,Queretaro,100,82700
E0004,Operations,Warehouse lead,Queretaro,99,24500
E0005,People,Recruiter,Queretaro,78,24500
E0006,Marketing,Content specialist,Monterrey,37,23700
E0007,Marketing,Content specialist,Monterrey,47,24100
E0008,Sales,Account executive,Monterrey,6,24300
E0009,Sales,Sales analyst,Guadalajara,120,49000
E0010,Sales,Account executive,Monterrey,129,29800
E0011,Sales,Sales manager,Monterrey,113,70300
E0012,People,Recruiter,Queretaro,69,24100
E0013,Finance,Accounts clerk,Monterrey,85,29800
E0014,Sales,Account executive,Monterrey,8,24400
E0015,Operations,Warehouse lead,Monterrey,76,23400
E0016,Marketing,Content specialist,Guadalajara,130,27800
E0017,Operations,Warehouse lead,Guadalajara,46,22100
E0018,Operations,Warehouse lead,Guadalajara,21,20900
E0019,People,Recruiter,Queretaro,55,23500
E0020,Sales,Account executive,Guadalajara,24,25100
E0021,People,Recruiter,Monterrey,33,22500
E0022,People,People analyst,Monterrey,70,39400
E0023,Finance,Controller,Monterrey,56,80400
E0024,Operations,Warehouse lead,Guadalajara,126,25700
E0025,Marketing,Brand manager,Mexico City,70,60300
E0026,Marketing,Campaign analyst,Mexico City,81,43300
E0027,Operations,Warehouse lead,Queretaro,21,20900
E0028,People,Recruiter,Mexico City,124,26600
E0029,Finance,Financial analyst,Mexico City,53,49400
E0030,Finance,Financial analyst,Mexico City,38,52000
E0031,Sales,Account executive,Mexico City,85,27800
E0032,Finance,Accounts clerk,Monterrey,131,31900
E0033,Marketing,Content specialist,Queretaro,54,24400
E0034,People,People manager,Monterrey,73,58100
E0035,Sales,Account executive,Queretaro,77,27500
E0036,Operations,Logistics analyst,Guadalajara,108,46800
E0037,Operations,Logistics analyst,Queretaro,66,43800
E0038,Sales,Account executive,Guadalajara,56,26500
E0039,Operations,Warehouse lead,Queretaro,101,24500
E0040,Marketing,Content specialist,Guadalajara,76,25400
E0041,Finance,Accounts clerk,Queretaro,59,28700
E0042,Operations,Logistics analyst,Guadalajara,45,42900
E0043,Marketing,Content specialist,Mexico City,7,22300
E0044,Operations,Warehouse lead,Monterrey,3,20100
E0045,People,Recruiter,Monterrey,36,22600
E0046,Operations,Warehouse lead,Monterrey,2,20100
E0047,People,People analyst,Queretaro,93,40100
E0048,Operations,Warehouse lead,Guadalajara,33,21500
E0049,Operations,Logistics analyst,Guadalajara,4,38100
E0050,People,Recruiter,Mexico City,29,22300
E0051,Sales,Account executive,Guadalajara,132,29900
E0052,People,Recruiter,Monterrey,12,21500
E0053,Finance,Accounts clerk,Queretaro,71,29200
E0054,Sales,Sales analyst,Guadalajara,47,46100
E0055,Operations,Logistics analyst,Monterrey,27,41500
E0056,Marketing,Campaign analyst,Mexico City,63,42100
E0057,Operations,Logistics analyst,Guadalajara,43,41500
E0058,People,Recruiter,Guadalajara,93,25200
E0059,Operations,Warehouse lead,Queretaro,83,23700
E0060,Sales,Account executive,Guadalajara,83,27700
E0061,Finance,Accounts clerk,Monterrey,27,27200
E0062,Operations,Warehouse lead,Queretaro,4,20200
E0063,Sales,Account executive,Queretaro,110,29000
E0064,Operations,Warehouse lead,Mexico City,17,20800
E0065,Marketing,Content specialist,Monterrey,17,22800
E0066,Marketing,Content specialist,Guadalajara,87,25900
E0067,People,People analyst,Queretaro,96,42800
E0068,Finance,Accounts clerk,Guadalajara,81,29600
E0069,People,Recruiter,Queretaro,10,21400
E0070,Sales,Account executive,Monterrey,62,26800
E0071,People,Recruiter,Mexico City,96,25300
E0072,Marketing,Content specialist,Mexico City,6,22300
E0073,Finance,Accounts clerk,Mexico City,14,26600
E0074,Operations,Warehouse lead,Mexico City,78,23500
E0075,People,Recruiter,Queretaro,109,25900
E0076,Operations,Warehouse lead,Guadalajara,58,22600
E0077,People,People analyst,Mexico City,44,38200
E0078,Sales,Account executive,Mexico City,24,25100
E0079,People,People analyst,Queretaro,112,43700
E0080,People,Recruiter,Mexico City,59,23700
E0081,People,People analyst,Queretaro,67,40600
E0082,Marketing,Brand manager,Guadalajara,55,56200
E0083,Sales,Account executive,Queretaro,56,26500
E0084,Finance,Accounts clerk,Mexico City,23,27000
E0085,Finance,Financial analyst,Queretaro,71,53300
E0086,Operations,Warehouse lead,Mexico City,58,22600
E0087,Sales,Account executive,Queretaro,50,26200
E0088,People,Recruiter,Mexico City,62,23800
E0089,Operations,Warehouse lead,Queretaro,119,25400
E0090,Operations,Warehouse lead,Queretaro,123,25500
E0091,People,Recruiter,Monterrey,75,24400
E0092,Sales,Account executive,Mexico City,41,25800
E0093,People,People analyst,Monterrey,24,37600
E0094,Sales,Sales manager,Queretaro,115,66900
E0095,Marketing,Campaign analyst,Queretaro,54,40500
E0096,People,People manager,Monterrey,97,57600
E0097,Sales,Account executive,Queretaro,82,27700
E0098,Finance,Financial analyst,Mexico City,75,54700
E0099,People,Recruiter,Guadalajara,69,24100
E0100,Finance,Controller,Queretaro,34,74200
E0101,Operations,Logistics analyst,Monterrey,82,44000
E0102,People,Recruiter,Guadalajara,88,25000
E0103,Finance,Financial analyst,Queretaro,62,51300
E0104,People,People manager,Queretaro,113,57200
E0105,People,People analyst,Guadalajara,115,44800
E0106,Operations,Warehouse lead,Monterrey,25,21100
E0107,People,Recruiter,Monterrey,62,23800
E0108,Sales,Account executive,Queretaro,25,25100
E0109,Operations,Warehouse lead,Queretaro,84,23800
E0110,Marketing,Content specialist,Monterrey,8,22400
E0111,Operations,Warehouse lead,Queretaro,11,20500
E0112,Finance,Accounts clerk,Queretaro,88,30000
E0113,Marketing,Campaign analyst,Monterrey,15,37700
E0114,Operations,Logistics analyst,Guadalajara,25,40800
E0115,People,People manager,Monterrey,82,60900
E0116,Marketing,Content specialist,Queretaro,48,24200
E0117,Operations,Warehouse lead,Mexico City,62,22800
E0118,Operations,Warehouse lead,Monterrey,73,23300
E0119,Sales,Account executive,Monterrey,57,26600
E0120,Sales,Account executive,Queretaro,34,25500
