date,region,channel,product,units,unit_price
2025-12-08,South,Online,Bean subscription,15,$ 690.00
2025-05-26,South,Wholesale,Coffee grinder,18,"$ 2,082.50"
2025-06-02,West,Online,Filter kettle,5,"$ 1,161.00"
2025-03-03,Centre,Wholesale,Coffee grinder,35,"$ 2,450.00"
2025-07-14,West,Wholesale,Travel mug,20,$ 349.00
2025-10-27,West,Online,Filter kettle,19,"$ 1,096.50"
2025-03-17,West,Online,Espresso machine,9,"$ 8,091.00"
2025-04-07,South,Wholesale,Espresso machine,8,"$ 8,990.00"
2025-07-21,Centre,Wholesale,Filter kettle,22,"$ 1,290.00"
2025-02-17,North,Wholesale,Coffee grinder,28,"$ 2,205.00"
2025-09-01,Centre,Online,Travel mug,16,$ 349.00
2025-07-21, North,Wholesale,Filter kettle,14,"$ 1,161.00"
2025-11-03,Centre,Wholesale,Bean subscription,51,$ 586.50
2025-11-03,South,Wholesale,Filter kettle,,"$ 1,096.50"
2025-05-26,Centre,Online,Filter kettle,4,"$ 1,290.00"
2025-08-04,Centre,Online,Filter kettle,7,"$ 1,096.50"
2025-02-03, North,Online,Filter kettle,8,"$ 1,096.50"
2025-08-25,north,Retail,Coffee grinder,6,"$ 2,450.00"
2025-11-03,Centre,Online,Filter kettle,28,"$ 1,290.00"
2025-08-25,North,Online,Coffee grinder,14,"$ 2,450.00"
2025-07-21,North,Online,Travel mug,17,$ 349.00
2025-06-09,North ,Retail,Filter kettle,11,"$ 1,096.50"
2025-02-03,Centre,Online,Espresso machine,13,"$ 8,990.00"
2025-12-29,Centre,Online,Coffee grinder,22,"$ 2,450.00"
2025-12-01,Centre,Online,Bean subscription,35,$ 690.00
2025-01-27,Centre,Online,Filter kettle,,"$ 1,290.00"
2025-12-29,South,Wholesale,Filter kettle,27,"$ 1,290.00"
2025-02-17,South,Online,Filter kettle,5,"$ 1,161.00"
2025-11-24,Centre,Wholesale,Travel mug,37,$ 349.00
2025-07-21,West,Wholesale,Travel mug,9,$ 314.10
2025-06-16,North,Online,Bean subscription,2,$ 586.50
2025-10-13,North,Online,Espresso machine,9,"$ 8,990.00"
2025-12-29,South,Wholesale,Bean subscription,34,$ 586.50
2025-11-24,North,Retail,Coffee grinder,12,"$ 2,450.00"
2025-05-12,South,Wholesale,Filter kettle,10,"$ 1,096.50"
2025-03-03,North,Retail,Filter kettle,8,"$ 1,096.50"
2025-01-13,West,Retail,Travel mug,7,$ 349.00
2025-06-09, North,Wholesale,Travel mug,23,$ 349.00
2025-05-19,South,Wholesale,Coffee grinder,10,"$ 2,205.00"
2025-05-05,Centre,Retail,Travel mug,11,$ 296.65
2025-12-01,West,Wholesale,Bean subscription,15,$ 586.50
2025-08-11,West,Wholesale,Coffee grinder,18,"$ 2,450.00"
2025-02-10,West,Retail,Bean subscription,5,$ 586.50
2025-02-10,Centre,Wholesale,Espresso machine,25,"$ 8,990.00"
2025-11-10,South,Wholesale,Filter kettle,11,"$ 1,161.00"
2025-09-15,South,Online,Bean subscription,9,$ 690.00
2025-08-04,West,Wholesale,Coffee grinder,27,"$ 2,205.00"
2025-03-10,Centre,Retail,Espresso machine,16,"$ 8,091.00"
2025-10-06,Centre,Online,Filter kettle,13,"$ 1,161.00"
2025-10-27,North,Online,Filter kettle,24,"$ 1,290.00"
2025-06-23,Centre,Wholesale,Bean subscription,47,$ 690.00
2025-07-07,South,Wholesale,Travel mug,19,$ 349.00
2025-03-10,South,Retail,Bean subscription,8,$ 586.50
2025-11-10,Centre,Wholesale,Bean subscription,26,$ 690.00
2025-12-08,North,Online,Bean subscription,7,$ 586.50
2025-01-13,South,Wholesale,Filter kettle,6,"$ 1,290.00"
2025-10-13,South,Wholesale,Travel mug,12,$ 314.10
2025-07-21,North,Online,Travel mug,9,$ 349.00
2025-11-03,West,Retail,Bean subscription,13,$ 690.00
2025-04-21,West,Retail,Espresso machine,3,"$ 8,091.00"
2025-07-14,Centre,Wholesale,Espresso machine,23,"$ 8,990.00"
2025-07-07,Centre,Online,Bean subscription,10,$ 621.00
2025-12-01,North,Online,Bean subscription,25,$ 690.00
2025-10-13,West,Wholesale,Bean subscription,24,$ 621.00
2025-09-22,North,Wholesale,Filter kettle,34,"$ 1,290.00"
2025-12-15,Centre,Online,Filter kettle,28,"$ 1,290.00"
2025-06-02,South,Online,Coffee grinder,10,"$ 2,205.00"
2025-03-17,South,Online,Espresso machine,10,"$ 8,990.00"
2025-10-13,South,Online,Coffee grinder,7,"$ 2,450.00"
2025-11-17, North,Online,Filter kettle,27,"$ 1,096.50"
2025-07-28,North,Retail,Filter kettle,3,"$ 1,290.00"
2025-03-10,north,Wholesale,Travel mug,13,$ 349.00
2025-11-24,West,Retail,Travel mug,14,$ 296.65
2025-10-27,NORTH,Retail,Bean subscription,18,$ 690.00
2025-04-21,South,Wholesale,Coffee grinder,,"$ 2,450.00"
2025-06-30,West,Online,Espresso machine,13,"$ 8,990.00"
2025-03-10,West,Wholesale,Espresso machine,20,"$ 8,990.00"
2025-11-17,North,Wholesale,Filter kettle,28,"$ 1,290.00"
2025-08-11,West,Retail,Filter kettle,7,"$ 1,161.00"
2025-09-15,West,Wholesale,Espresso machine,25,"$ 8,990.00"
2025-12-01,Centre,Retail,Filter kettle,13,"$ 1,161.00"
2025-12-08,North,Wholesale,Espresso machine,57,"$ 8,091.00"
2025-09-01,South,Online,Travel mug,10,$ 349.00
2025-03-03,South,Retail,Bean subscription,5,$ 690.00
2025-09-29,north,Wholesale,Bean subscription,,$ 690.00
2025-06-09,South,Online,Travel mug,12,$ 296.65
2025-06-16,West,Online,Coffee grinder,11,"$ 2,450.00"
2025-11-03,North,Retail,Bean subscription,7,$ 690.00
2025-05-12,North,Retail,Bean subscription,10,$ 690.00
2025-05-26,North ,Online,Coffee grinder,4,"$ 2,450.00"
2025-09-08,Centre,Online,Espresso machine,17,"$ 7,641.50"
2025-08-25,Centre,Wholesale,Bean subscription,26,$ 690.00
2025-09-15,Centre,Wholesale,Travel mug,37,$ 296.65
2025-12-01,South,Retail,Filter kettle,14,"$ 1,290.00"
2025-03-17,Centre,Wholesale,Espresso machine,33,"$ 8,990.00"
2025-12-29,Centre,Wholesale,Travel mug,64,$ 296.65
2025-12-22,north,Online,Travel mug,26,$ 314.10
2025-06-30,West,Retail,Travel mug,11,$ 314.10
2025-06-16,Centre,Wholesale,Espresso machine,34,"$ 8,990.00"
2025-08-11,Centre,Wholesale,Bean subscription,29,$ 690.00
2025-07-14,North,Online,Filter kettle,11,"$ 1,290.00"
2025-07-28,North,Retail,Travel mug,12,$ 349.00
2025-03-10,North,Wholesale,Bean subscription,38,$ 690.00
2025-12-22,Centre,Retail,Travel mug,30,$ 314.10
2025-05-12,North,Retail,Bean subscription,12,$ 621.00
2025-12-08,Centre,Online,Espresso machine,37,"$ 8,990.00"
2025-12-29,North,Wholesale,Filter kettle,32,"$ 1,290.00"
2025-04-21,Centre,Retail,Espresso machine,13,"$ 7,641.50"
2025-03-03,West,Retail,Espresso machine,5,"$ 8,990.00"
2025-01-20,West,Online,Filter kettle,4,"$ 1,096.50"
2025-08-25,West,Retail,Bean subscription,,$ 690.00
2025-05-19,North,Wholesale,Coffee grinder,21,"$ 2,205.00"
2025-12-15,North,Retail,Bean subscription,23,$ 621.00
2025-04-14,North,Retail,Filter kettle,10,"$ 1,290.00"
2025-04-07,Centre,Retail,Coffee grinder,14,"$ 2,082.50"
2025-09-22,Centre,Retail,Travel mug,18,$ 349.00
2025-05-19,Centre,Wholesale,Filter kettle,40,"$ 1,290.00"
2025-08-11,South,Retail,Espresso machine,6,"$ 8,990.00"
2025-05-26,West,Retail,Espresso machine,6,"$ 8,091.00"
2025-10-20,North,Online,Filter kettle,7,"$ 1,290.00"
2025-07-07,North,Retail,Coffee grinder,10,"$ 2,450.00"
2025-07-28,Centre,Retail,Travel mug,17,$ 349.00
2025-11-03,North,Wholesale,Espresso machine,,"$ 8,091.00"
2025-08-18,North,Retail,Coffee grinder,9,"$ 2,450.00"
2025-01-27,West,Wholesale,Travel mug,10,$ 349.00
2025-06-30,Centre,Wholesale,Filter kettle,,"$ 1,290.00"
2025-05-19,South,Wholesale,Bean subscription,12,$ 621.00
2025-06-09,Centre,Online,Travel mug,7,$ 314.10
2025-09-08,North,Retail,Espresso machine,13,"$ 8,990.00"
2025-11-24,West,Wholesale,Filter kettle,34,"$ 1,161.00"
2025-11-24,South,Wholesale,Travel mug,15,$ 349.00
2025-12-15,West,Online,Travel mug,16,$ 349.00
2025-03-24,South,Wholesale,Travel mug,18,$ 349.00
2025-10-13,West,Online,Coffee grinder,16,"$ 2,450.00"
2025-04-07,North,Online,Coffee grinder,,"$ 2,205.00"
2025-05-12,West,Wholesale,Coffee grinder,27,"$ 2,450.00"
2025-06-30,South,Online,Filter kettle,,"$ 1,161.00"
2025-09-15,Centre,Wholesale,Espresso machine,32,"$ 8,990.00"
2025-03-31,West,Online,Travel mug,11,$ 349.00
2025-01-20,North,Retail,Espresso machine,5,"$ 8,091.00"
2025-06-23,West,Online,Espresso machine,8,"$ 8,990.00"
2025-10-06,West,Retail,Travel mug,11,$ 296.65
2025-01-27,South,Wholesale,Travel mug,11,$ 349.00
2025-05-05,West,Wholesale,Espresso machine,22,"$ 8,990.00"
2025-02-10,North,Wholesale,Espresso machine,21,"$ 8,990.00"
2025-07-07,North,Wholesale,Filter kettle,25,"$ 1,290.00"
2025-05-19,West,Retail,Travel mug,6,$ 296.65
2025-10-20,West,Wholesale,Travel mug,18,$ 349.00
2025-06-16,South,Retail,Espresso machine,9,"$ 8,990.00"
