date,region,channel,product,units,unit_price,amount
2025-12-08,South,Online,Bean subscription,15,690.0,10350.0
2025-05-26,South,Wholesale,Coffee grinder,18,2082.5,37485.0
2025-06-02,West,Online,Filter kettle,5,1161.0,5805.0
2025-03-03,Centre,Wholesale,Coffee grinder,35,2450.0,85750.0
2025-07-14,West,Wholesale,Travel mug,20,349.0,6980.0
2025-10-27,West,Online,Filter kettle,19,1096.5,20833.5
2025-03-17,West,Online,Espresso machine,9,8091.0,72819.0
2025-04-07,South,Wholesale,Espresso machine,8,8990.0,71920.0
2025-07-21,Centre,Wholesale,Filter kettle,22,1290.0,28380.0
2025-02-17,North,Wholesale,Coffee grinder,28,2205.0,61740.0
2025-09-01,Centre,Online,Travel mug,16,349.0,5584.0
2025-07-21,North,Wholesale,Filter kettle,14,1161.0,16254.0
2025-11-03,Centre,Wholesale,Bean subscription,51,586.5,29911.5
2025-05-26,Centre,Online,Filter kettle,4,1290.0,5160.0
2025-08-04,Centre,Online,Filter kettle,7,1096.5,7675.5
2025-02-03,North,Online,Filter kettle,8,1096.5,8772.0
2025-08-25,North,Retail,Coffee grinder,6,2450.0,14700.0
2025-11-03,Centre,Online,Filter kettle,28,1290.0,36120.0
2025-08-25,North,Online,Coffee grinder,14,2450.0,34300.0
2025-07-21,North,Online,Travel mug,17,349.0,5933.0
2025-06-09,North,Retail,Filter kettle,11,1096.5,12061.5
2025-02-03,Centre,Online,Espresso machine,13,8990.0,116870.0
2025-12-29,Centre,Online,Coffee grinder,22,2450.0,53900.0
2025-12-01,Centre,Online,Bean subscription,35,690.0,24150.0
2025-12-29,South,Wholesale,Filter kettle,27,1290.0,34830.0
2025-02-17,South,Online,Filter kettle,5,1161.0,5805.0
2025-11-24,Centre,Wholesale,Travel mug,37,349.0,12913.0
2025-07-21,West,Wholesale,Travel mug,9,314.1,2826.9
2025-06-16,North,Online,Bean subscription,2,586.5,1173.0
2025-10-13,North,Online,Espresso machine,9,8990.0,80910.0
2025-12-29,South,Wholesale,Bean subscription,34,586.5,19941.0
2025-11-24,North,Retail,Coffee grinder,12,2450.0,29400.0
2025-05-12,South,Wholesale,Filter kettle,10,1096.5,10965.0
2025-03-03,North,Retail,Filter kettle,8,1096.5,8772.0
2025-01-13,West,Retail,Travel mug,7,349.0,2443.0
2025-06-09,North,Wholesale,Travel mug,23,349.0,8027.0
2025-05-19,South,Wholesale,Coffee grinder,10,2205.0,22050.0
2025-05-05,Centre,Retail,Travel mug,11,296.65,3263.1499999999996
2025-12-01,West,Wholesale,Bean subscription,15,586.5,8797.5
2025-08-11,West,Wholesale,Coffee grinder,18,2450.0,44100.0
