Date,Quantity,Item,Unit Cost,Unit Price
2023-03-01,8,Tubo 30 mm acero inox. Mate 2 mts.,180,200
2023-03-02,16,Carretilla 3 peldaños,340,350
2023-03-03,11,Asiento inodoro wc  azul,100,140
2023-03-04,16,Lámpara de trabajo,100,150
2023-03-05,18,Buzón aluminio plata,150,300
2023-03-06,14,Chapa depuerta,200,210
2023-03-07,15,Tornillo acerado,2,3
2023-03-08,10,Bisagras de acero,15,20
2023-03-09,18,Tuercas mariposas,0.5,1
2023-03-10,9,Pegamento blanco,18,20
2023-03-11,17,Protector anticorrosivo,50,100
2023-03-12,18,Aguarras,13,30
2023-03-13,10,Brocha grande,29,50
2023-03-14,18,Escalera pequeña,250,300
