DATE,CATEGORY,CLIENT,TREATMENT,ESTHETICIAN,PRICE,% DISCOUNT
44563,Body,C-10,Hyperthermia,María,202,0.04
44563,Body,C-16,Energizing Scrub,Camila,202,0.06
44563,Body,A-17,Detoxifying Algae,María,101,0.03
44563,Body,D-18,Detoxifying Algae,Rafaella,101,
44563,Body,B-19,Reductive,Rosa,138,
44563,Facial,B-19,Daymond Frozend,Rafaella,146,
44564,Facial,B-10,Collagen and Elastin Line,Ana,145,
44564,Facial,D-15,Basic,Camila,137,
44564,Body,C-11,Detoxifying Wrap,Rosa,198,
44564,Facial,C-16,Anti age,Ana,228,0.04
44564,Facial,C-19,Cleaning Treatment,Ana,220,0.05
44564,Body,A-15,Avocado Wrap with Yogurt,María,201,0.03
44564,Body,A-19,Heavenly Body,Rosa,192,0.1
44564,Body,A-14,Heavenly Body,Rosa,192,0.09
44564,Body,A-14,Tequila,Ana,146,0.01
44564,Facial,A-16,Accua Morin,María,149,0.05
44565,Body,B-15,Avocado Wrap with Yogurt,María,201,0.05
44565,Facial,D-19,Collagen and Elastin Line,Rosa,145,0.02
44565,Facial,B-19,Microdermabrasion,Rafaella,237,0.06
44565,Facial,B-16,Microdermabrasion,Camila,237,
44565,Body,D-14,Cacahua,Rafaella,168,
44565,Body,B-15,Turquoise Blue Ritual,Rafaella,194,
44565,Facial,A-12,Microdermabrasion,Rafaella,237,
44565,Body,B-10,Ice therapy,Ana,195,
44565,Body,C-11,Heavenly Body,Rafaella,192,
44565,Body,C-20,Essential Ritual of the Sea,María,214,
44566,Body,C-15,Reductive integral,María,191,
44566,Body,D-11,Hyperthermia,Ana,202,0.09
44566,Body,A-12,Hyperthermia,Rafaella,202,0.01
44566,Body,C-11,Chocotherapy,Rafaella,184,0.1
44566,Facial,C-19,Deep cleaning,Rosa,218,0.08
44566,Facial,C-18,Daymond Frozend,Rafaella,146,0.01
44566,Facial,B-13,Ice therapy,Camila,195,0.08
44566,Facial,C-14,Microdermabrasion,María,237,0.08
44566,Body,A-11,Energizing Scrub,Rafaella,202,0.02
44566,Body,D-17,Relaxing,Camila,170,0.09
44567,Facial,C-14,Microdermabrasion,Camila,237,0.09
