Month,Day,Deposit,Withdrawal,Branch
Jan,1,5000,,Díaz Mirón
Jan,5,,2000,Bolívar
Jan,7,,1500,Díaz Mirón
Jan,15,4500,,Bolívar
Jan,17,,1200,Díaz Mirón
Jan,20,,1500,Miguel Alemán
Jan,25,,1000,Bolívar
Jan,29,,500,Miguel Alemán
Jan,31,7000,,Díaz Mirón
Jan,31,,1000,Cuauhtémoc
Feb,3,,1000,Bolívar
Feb,6,,1200,Díaz Mirón
Feb,10,,2500,Cuauhtémoc
Feb,15,5500,,Miguel Alemán
Feb,20,,3000,Díaz Mirón
Feb,25,2000,,Bolívar
Feb,28,5000,,Miguel Alemán
Mar,5,,1500,Cuauhtémoc
Mar,8,,1000,Díaz Mirón
Mar,14,,2000,Bolívar
Mar,16,5300,,Cuauhtémoc
Mar,18,,2000,Cuauhtémoc
Mar,21,1500,,Bolívar
Mar,21,,1000,Díaz Mirón
Mar,23,,1500,Cuauhtémoc
Mar,25,2500,,Díaz Mirón
Mar,25,,1000,Miguel Alemán
Mar,27,,1000,Bolívar
Mar,29,,1500,Díaz Mirón
Mar,31,6250,,Díaz Mirón
