Order Num,Product,Origin,Destination
2021-1,Falda,PLANTA NORTE,NUEVO LEON
2021-10,Chamarra,PLANTA CENTRO,GUANAJUATO
2021-11,Falda,PLANTA PONIENTE,GUANAJUATO
2021-12,Chamarra,PLANTA ORIENTE,NUEVO LEON
2021-13,Traje de Baño,PLANTA PONIENTE,SINALOA
2021-14,Blusa,PLANTA SUR,GUANAJUATO
2021-15,Blusa,PLANTA CENTRO,VERACRUZ
2021-16,Chamarra,PLANTA NORTE,NUEVO LEON
2021-17,Traje de Baño,PLANTA PONIENTE,NUEVO LEON
2021-18,Chamarra,PLANTA SUR,NUEVO LEON
2021-19,Falda,PLANTA CENTRO,GUANAJUATO
2021-2,Traje de Baño,PLANTA CENTRO,GUANAJUATO
2021-20,Chamarra,PLANTA NORTE,DURANGO
2021-21,Traje de Baño,PLANTA ORIENTE,VERACRUZ
2021-22,Falda,PLANTA PONIENTE,NUEVO LEON
2021-23,Chamarra,PLANTA CENTRO,NUEVO LEON
2021-24,Traje de Baño,PLANTA SUR,GUANAJUATO
2021-25,Falda,PLANTA NORTE,GUANAJUATO
2021-26,Blusa,PLANTA CENTRO,VERACRUZ
2021-27,Falda,PLANTA NORTE C,SINALOA
2021-28,Blusa,PLANTA PONIENTE,GUANAJUATO
2021-29,Chamarra,DORADO,NUEVO LEON
