Item,Description,Unit,Cost
450701238,GANCHO ESTIRA TEJ GALV 3/8  x  8,PZ,0.01
450818976,SELLADOR S-28 SILIC NEGRO   50 GR,PZ,0.01
450818977,MECHA EZETA COLA CONICA 18.25 MM,PZ,0.01
450800832,MARTILLO 2235 CHAPISTA DIAM 35,PZ,0.1
450801110,PALANQ  LAMINADA 1010  50.80 MM,PZ,0.21
450800175,MENSULA DOBLE BLANCA 170 MM,PZ,0.23
424582395,MECHA EZETA CILIND TITANIO 10.50 MM,PZ,0.25
424570573,CADENA ENGANCHE N. 6 HO BRONCEADO,CJ,0.38
450812520,PALANQ  LAMINADA 1045  63.50 MM,PZ,0.4
424504541,MACHO URANGA A/ALEADO M 22 x 1.50,PZ,0.44
424572731,MECHA NEIKE WIDIA LARGA 400 14 MM,PZ,0.48
424560033,CLAVO CAJ PULIDO FRACC  15- 50,PZ,0.51
424562533,MENSULA DOBLE ALUM   270 MM,PZ,0.52
450802490,ABRAZ AMERICANA 3011/5 120 - 135 MM,PZ,0.62
450805692,CADENA MAGER TORCIDO CORTO N. 35,PZ,0.72
450305078,ARAND NEOPREN CHICA  16 MM,PZ,0.736
450812675,POLIET ECO 3 x 200 x  50 NEGRO,PZ,0.77
450801118,GUARDACABO GALV   7/8,PZ,1.04
450814332,CUCHARA GHERARDI FORJ N. 6,PZ,1.04
450800316,DESTAPACAÃ‘ERIA CINTA ACERO 20 MT,PZ,1.13
450804512,MECHA EZETA COLA CONICA  7.50 MM,PZ,1.22
450812933,MECHA FIBRA DE VIDRIO 10.2 MM,PZ,1.25
424581756,MENSULA DOBLE NEGRA  570 MM,PZ,1.29
424561778,MENSULA DOBLE ECO BLANCA 370 MM,PZ,1.31
424575454,MARTILLO 2240 CHAPISTA DIAM 40,PZ,1.32
424572860,BIS T/MUNICION C/AGUJ PUL  100x75,PZ,1.35
424560978,MECHA EZETA WIDIA BOSCH  8 x 460 MM,PZ,1.42
424560199,LIJA AA GOLD 24K  G.180,PZ,1.58
450800669,MENSULA DOBLE BLANCA 270 MM,PZ,1.61
424560260,CLAVO CAJ PULIDO FRACC  17- 75,PZ,1.74
450811958,LIJA AA FENOB G. 80   120 x 45000,PZ,1.76
464502648,MECHA EZETA COLA CONICA 24.50 MM,PZ,1.77
450802605,LLANA VOSS 2000 PLASTICA  6 x  6,PZ,1.84
424580280,PALA GHERARDI FORJ POCERA ESCOC C/C,PZ,1.88
450905532,CADENA P/PERRO N.11 LARGO 1.40 MT,PZ,1.88
450905533,CADENA P/PERRO N.10 LARGO 1.40 MT,PZ,1.88
424595752,PICO GHERARDI PTA-PALA  75 MM,PZ,1.97
450800178,GRAMPA PRENSA CABLE GALV   5/8,PZ,1.97
450813672,MACHO URANGA A/RAPIDO NF     6 x 40,PZ,2.01
464502587,RIEGO LLUVIA  ACOPLE ESPIGA,PZ,2.03
450806145,MECHA EZETA COLA CONICA 34.25 MM,PZ,2.17
450810672,MECHA BIASSONI P T E  5/16  LARGA,PZ,2.18
450811951,BANDA AA TELA  75x533 O/A MAD G.120,PZ,2.2
450800822,MALLA ACINDAR 50x 50x2.6MM 1.2x24MT,PZ,2.23
450811781,PICO GHERARDI PTA-PALA  62 MM,PZ,2.23
424562201,MENSULA DOBLE ECO BLANCA 170 MM,PZ,2.25
450812628,MECHA EZETA COLA CONICA  8.00 MM,PZ,2.26
424563350,LIJA AA GOLD 24K  G.150,PZ,2.3
450905534,ROLDANA CHAPA GALV 25 MM,PZ,2.31
450905535,MAQ HORMIGONERA RTO-TAMBOR C/R,PZ,2.31
450814096,GANCHO J P/GALPON COMP 1/4 x 100 MM,PZ,2.33
450813518,MACHO URANGA A/ALEADO NC  3/4  x 10,PZ,2.34
450814075,SIFON P/BACHA SIMPLE DIAM 50 MM,PZ,2.34
464502668,MACHO URANGA A/RAPIDO NF     8 x 36,PZ,2.35
450800648,MENSULA DOBLE BLANCA 570 MM,PZ,2.36
450801828,MECHA EZETA COLA CONICA 35.25 MM,PZ,2.44
424581721,ALAMB REC NEGRO N.12 2.64 MM,PZ,2.45
450802774,CLAVO P/PARIS FRACC  2 1/2,PZ,2.46
450803608,TOR P/MECHA C/FIJAD-PHIL  6 x   3/8,PZ,2.53
450803190,TOR P/MECHA C/FIJAD-PHIL 10 x 1 1/4,PZ,2.58
450813521,PALA GHERARDI T/CAMPING,PZ,2.58
450810567,CABALLETE TELESCOPICO HASTA 2 MT,PZ,2.6
450804356,SELLADOR S-28 SILIC BLANCO  50 GR,PZ,2.7
450804547,MECHA EZETA COLA CONICA  7.75 MM,PZ,2.74
450811956,BANDA AA TELA  75x533 O/A MAD G. 80,PZ,2.74
450812888,MACHO URANGA A/ALEADO NF  5/8  x 18,RL,2.75
450801211,MECHA EZETA COLA CONICA 23.00 MM,PZ,2.8
450814626,CLAVO PUNTA PARIS 1      x 20 KG,PZ,2.8
424585821,MECHA EZETA CILIND TITANIO 10.75 MM,PZ,2.84
450813581,MECHA EZETA COLA CONICA 18.50 MM,PZ,2.85
424588529,TENDEDERO EXTENS 9 V  45 CM,PZ,2.86
450812146,MECHA EZETA COLA CONICA  6.75 MM,PZ,2.89
424590713,MECHA EZETA DOBLE PUNTA 5.10 MM,PZ,2.91
450801209,SOGA ELASTICA 6 MM,PZ,2.91
450801210,MECHA NEIKE WIDIA LARGA 250  6 MM,PZ,2.91
450801938,ELECTRODO ESAB P/AZUL 3.25 MM,PZ,2.95
450810826,ROLDANA CHAPA GALV 50 MM,PZ,2.97
450814105,TELA MOSQ ALUM UNIV 1.22 x 30.0 MT,PZ,3.01
450813306,CLAVO PUNTA PARIS 1 1/2  x 20 KG,PZ,3.07
424582271,CADENA P/PERRO N.17 LARGO 1.70 MT,PZ,3.09
450813497,VIRUTA ACERO MEDIANA x 330 GR,PZ,3.11
450802711,ABRAZ A/INOXIDABLE 5506 12 - 16 MM,PZ,3.12
450801213,GRAMPA P/CAJONERO 14-20,PZ,3.17
450810706,CABLE CORDON  1.8 MM 1 x 19 BICI,PZ,3.19
450817150,TOR P/MECHA C/FIJAD-PHIL 10 x 1 1/2,PZ,3.2
413050011,CLAVO CAJ PULIDO FRACC  12- 35,PZ,3.23
424596137,MACHETE GHERARDI N.14  355 MM,PZ,3.3
424560356,MECHA EZETA CILIND TITANIO  4.75 MM,PZ,3.33
424590714,MECHA EZETA WIDIA CORTA 25 MM,PZ,3.39
450812359,GRAMPA PRENSA CABLE GALV   3/4,MT,3.42
450805555,GUANTE LATEX P/CORTO  8 1/2,PZ,3.45
450802863,CEPILLO ACERO CIRCULAR  7x1,PZ,3.58
450804355,BROCA MANUAL UR14 1/4,PZ,3.59
500000964,MECHA MAX PLANA P/MAD 1  1/4,PZ,3.62
450812484,MECHA EZETA COLA CONICA 29.75 MM,PZ,3.69
424582668,GANCHO P/CAÃ‘O ESTRUCT 30 x 100,BA,3.73
450814104,SEMILLA REFORZADA N. 7,PZ,3.74
500000961,MECHA MAX PLANA P/MAD    5/8,PZ,3.76
500000962,MECHA MAX PLANA P/MAD 1  1/2,PZ,3.76
500000963,MECHA MAX PLANA P/MAD 1  3/8,PZ,3.76
450801074,TIJERA GHERARDI CORTA PERNOS 30,PZ,3.8
450814042,MAQ ZONTA RTO-TRAZADOR,PZ,3.84
450802475,DISCO AA GOLD    6 PERF 154  G.220,PZ,3.87
450810878,POLIET SIXCOM 2 x 100 x 100 NEGRO,PZ,3.91
413050019,CLAVO CAJ PULIDO FRACC  12- 28,PZ,3.94
450812887,TOR P/MECHA C/FIJAD-PHIL  8 x 1 1/4,RL,3.97
424582126,COLLAR SUELA N.21 LISO - 46 CM,PZ,4.03
424582170,ALAMB REC NEGRO N.18 1.22 MM,PZ,4.05
450800824,TENDEDERO T/CALESITA C/BASE CEMENTO,PZ,4.06
450817147,GANCHO CONTRA VIENTO 27 - 210 x 10,PZ,4.06
450801827,MECHA EZETA COLA CONICA 33.50 MM,PZ,4.07
450812625,MECHA EZETA WIDIA BOSCH 18 x 460 MM,PZ,4.08
450811648,CLAVO CAJ PULIDO 13- 40 x 30 KG,PQ,4.12
450905817,CLAVO ESCUADRA PUL 16 -  35,PZ,4.13
450800823,TENDEDERO PIE PLEG 8 V ALAMB SIMPLE,PZ,4.14
450812629,MECHA EZETA COLA CONICA  7.00 MM,PZ,4.16
450811256,CABLE CORDON  2.5 MM 1 x 19,HJ,4.17
450803779,TOR P/MECHA C/FIJAD-PHIL 10 x 1,PZ,4.19
450812648,MECHA EZETA COLA CONICA 10.75 MM,PZ,4.21
450813516,GRILLETE FORJ GALV   3/4  x   7/8,PZ,4.23
424560466,CABLE ACERO  4.0 MM 6 x  7+1,PZ,4.26
450805556,CORTAFRIO GHERARDI HEXAG 18-21 300,PZ,4.28
450802775,MARTILLO 2227 CHAPISTA DIAM 27,PZ,4.31
450800766,PITON S/TOPE CERRADO P/TACO  4 x100,PZ,4.33
450812342,CINTA TEFLON    1/2 x 20 MT,PZ,4.34
450813110,CLAVO ESCUADRA PUL 21 -  60,PZ,4.37
450813688,MACHO URANGA A/RAPIDO NF     5 x 44,PZ,4.4
450804513,MECHA EZETA COLA CONICA 19.50 MM,PZ,4.42
450805672,LLANA VOSS 2000 PLASTICA  9 x  9,PZ,4.45
450813103,MECHA EZETA COLA CONICA 11.25 MM,PZ,4.47
450811930,MECHA EZETA COLA CONICA 13.75 MM,PZ,4.48
450804907,MECHA EZETA WIDIA BOSCH 20 x 460 MM,PZ,4.49
424584835,MACHO URANGA A/ALEADO NF  9/16 x 18,PQ,4.52
424562121,ALAMB REC NEGRO N.21 0.81 MM,PZ,4.53
450802206,GUARDACABO GALV   7/16,PZ,4.54
424560204,MECHA EZETA WIDIA BOSCH 10 x 350 MM,PZ,4.57
450814785,CEPILLO ALAMBRE ACERO  C/MANGO 3x19,PZ,4.61
450905572,CUCHARA GHERARDI FORJ N. 8 ROMA,PZ,4.87
450803783,MECHA EZETA COLA CONICA 37.25 MM,PZ,4.93
450804535,MECHA EZETA COLA CONICA 10.00 MM,PZ,4.93
424564160,TABLA PLANCHAR STANDARD C/MANGUERO,PZ,4.97
450805097,MECHA EZETA COLA CONICA 20.00 MM,PZ,5.13
424582140,GANCHO P/CAÃ‘O ESTRUCT 40 x 150,PQ,5.14
424591593,ALAMB REC NEGRO N.11 2.94 MM,PZ,5.19
450814043,CADENA NUDO N.13,PZ,5.2
424582146,HILO DE POLIP P/ARROLLADORA,PQ,5.29
450813104,MECHA EZETA COLA CONICA  8.75 MM,PZ,5.29
450810708,LIJA AA FENOB G. 80   150 x 45000,PZ,5.3
500001062,MECHA MAX PLANA P/MAD    5/16,PZ,5.32
424501095,MECHA MAX PLANA P/MAD   11/16,PZ,5.35
424560465,CADENA P/PERRO N.12 LARGO 1.70 MT,PZ,5.35
450811257,TENDEDERO ABANICO VERTICAL,HJ,5.37
424591980,ALAMB REC NEGRO N.13 2.33 MM,PZ,5.39
424593750,PITON C/TOPE ESCUAD  BCE 18-45 x100,PZ,5.43
450810480,MECHA EZETA COLA CONICA 17.75 MM,PZ,5.43
450802603,MECHA EZETA COLA CONICA 28.50 MM,PZ,5.46
424570826,CINTA EVEL 5004 LLAVERO 1 MT,PZ,5.57
450812634,MECHA EZETA WIDIA BOSCH 22 x 460 MM,PZ,5.57
450814770,PITON S/TOPE CERRADO P/TACO  6 x 50,PZ,5.62
424501094,TELA M/SOMBRA 100 MT NEGR-VERDE 80%,PZ,5.64
424591982,ALAMB REC NEGRO N. 9 3.66 MM,PZ,5.64
424591983,ALAMB REC NEGRO N.10 3.25 MM,PZ,5.64
450804718,CEPILLO ACERO CIRCULAR  6x1,PZ,5.65
450811340,CUCHARA GHERARDI FORJ N. 7 ROMA,PZ,5.65
450812618,MECHA EZETA COLA CONICA  8.50 MM,PZ,5.68
450600057,PITON C/TOPE CERRADO BCE 21-60 x 50,PZ,5.69
424566103,MECHA EZETA WIDIA CORTA  4 MM,PZ,5.71
424580976,MECHA EZETA CILIND TITANIO  8.50 MM,PZ,5.71
450814364,CLAVO P/PARIS FRACC  1 1/2,PZ,5.81
424591594,ALAMB REC NEGRO N.14 2.03 MM,PZ,5.82
450804722,MECHA EZETA COLA CONICA 15.00 MM,PZ,5.83
413052648,CLAVO C/CHATA  9-30,PZ,5.97
