Description,Item,Unit,Cost
GANCHO ESTIRA TEJ GALV 3/8  x  8,450701238,PZ,0.01
SELLADOR S-28 SILIC NEGRO   50 GR,450818976,PZ,0.01
MECHA EZETA COLA CONICA 18.25 MM,450818977,PZ,0.01
MARTILLO 2235 CHAPISTA DIAM 35,450800832,PZ,0.1
PALANQ  LAMINADA 1010  50.80 MM,450801110,PZ,0.21
MENSULA DOBLE BLANCA 170 MM,450800175,PZ,0.23
MECHA EZETA CILIND TITANIO 10.50 MM,424582395,PZ,0.25
CADENA ENGANCHE N. 6 HO BRONCEADO,424570573,CJ,0.38
PALANQ  LAMINADA 1045  63.50 MM,450812520,PZ,0.4
MACHO URANGA A/ALEADO M 22 x 1.50,424504541,PZ,0.44
MECHA NEIKE WIDIA LARGA 400 14 MM,424572731,PZ,0.48
CLAVO CAJ PULIDO FRACC  15- 50,424560033,PZ,0.51
MENSULA DOBLE ALUM   270 MM,424562533,PZ,0.52
ABRAZ AMERICANA 3011/5 120 - 135 MM,450802490,PZ,0.62
CADENA MAGER TORCIDO CORTO N. 35,450805692,PZ,0.72
ARAND NEOPREN CHICA  16 MM,450305078,PZ,0.736
POLIET ECO 3 x 200 x  50 NEGRO,450812675,PZ,0.77
GUARDACABO GALV   7/8,450801118,PZ,1.04
CUCHARA GHERARDI FORJ N. 6,450814332,PZ,1.04
DESTAPACAÃ‘ERIA CINTA ACERO 20 MT,450800316,PZ,1.13
MECHA EZETA COLA CONICA  7.50 MM,450804512,PZ,1.22
MECHA FIBRA DE VIDRIO 10.2 MM,450812933,PZ,1.25
MENSULA DOBLE NEGRA  570 MM,424581756,PZ,1.29
MENSULA DOBLE ECO BLANCA 370 MM,424561778,PZ,1.31
MARTILLO 2240 CHAPISTA DIAM 40,424575454,PZ,1.32
BIS T/MUNICION C/AGUJ PUL  100x75,424572860,PZ,1.35
MECHA EZETA WIDIA BOSCH  8 x 460 MM,424560978,PZ,1.42
LIJA AA GOLD 24K  G.180,424560199,PZ,1.58
MENSULA DOBLE BLANCA 270 MM,450800669,PZ,1.61
CLAVO CAJ PULIDO FRACC  17- 75,424560260,PZ,1.74
LIJA AA FENOB G. 80   120 x 45000,450811958,PZ,1.76
MECHA EZETA COLA CONICA 24.50 MM,464502648,PZ,1.77
LLANA VOSS 2000 PLASTICA  6 x  6,450802605,PZ,1.84
PALA GHERARDI FORJ POCERA ESCOC C/C,424580280,PZ,1.88
CADENA P/PERRO N.11 LARGO 1.40 MT,450905532,PZ,1.88
CADENA P/PERRO N.10 LARGO 1.40 MT,450905533,PZ,1.88
PICO GHERARDI PTA-PALA  75 MM,424595752,PZ,1.97
GRAMPA PRENSA CABLE GALV   5/8,450800178,PZ,1.97
MACHO URANGA A/RAPIDO NF     6 x 40,450813672,PZ,2.01
RIEGO LLUVIA  ACOPLE ESPIGA,464502587,PZ,2.03
MECHA EZETA COLA CONICA 34.25 MM,450806145,PZ,2.17
MECHA BIASSONI P T E  5/16  LARGA,450810672,PZ,2.18
BANDA AA TELA  75x533 O/A MAD G.120,450811951,PZ,2.2
MALLA ACINDAR 50x 50x2.6MM 1.2x24MT,450800822,PZ,2.23
PICO GHERARDI PTA-PALA  62 MM,450811781,PZ,2.23
MENSULA DOBLE ECO BLANCA 170 MM,424562201,PZ,2.25
MECHA EZETA COLA CONICA  8.00 MM,450812628,PZ,2.26
LIJA AA GOLD 24K  G.150,424563350,PZ,2.3
ROLDANA CHAPA GALV 25 MM,450905534,PZ,2.31
MAQ HORMIGONERA RTO-TAMBOR C/R,450905535,PZ,2.31
GANCHO J P/GALPON COMP 1/4 x 100 MM,450814096,PZ,2.33
MACHO URANGA A/ALEADO NC  3/4  x 10,450813518,PZ,2.34
SIFON P/BACHA SIMPLE DIAM 50 MM,450814075,PZ,2.34
MACHO URANGA A/RAPIDO NF     8 x 36,464502668,PZ,2.35
MENSULA DOBLE BLANCA 570 MM,450800648,PZ,2.36
MECHA EZETA COLA CONICA 35.25 MM,450801828,PZ,2.44
ALAMB REC NEGRO N.12 2.64 MM,424581721,PZ,2.45
CLAVO P/PARIS FRACC  2 1/2,450802774,PZ,2.46
TOR P/MECHA C/FIJAD-PHIL  6 x   3/8,450803608,PZ,2.53
TOR P/MECHA C/FIJAD-PHIL 10 x 1 1/4,450803190,PZ,2.58
PALA GHERARDI T/CAMPING,450813521,PZ,2.58
CABALLETE TELESCOPICO HASTA 2 MT,450810567,PZ,2.6
SELLADOR S-28 SILIC BLANCO  50 GR,450804356,PZ,2.7
MECHA EZETA COLA CONICA  7.75 MM,450804547,PZ,2.74
BANDA AA TELA  75x533 O/A MAD G. 80,450811956,PZ,2.74
MACHO URANGA A/ALEADO NF  5/8  x 18,450812888,RL,2.75
