TOWN,GENDER,AGE RANGE,NUMBER
MILPA ALTA,Male,r) 85   and more,387
CUAJIMALPA DE MORELOS,Male,r) 85   and more,511
MILPA ALTA,Male,q) 80 a 84  ,518
MILPA ALTA,Female,r) 85   and more,605
MILPA ALTA,Female,q) 80 a 84  ,628
CUAJIMALPA DE MORELOS,Male,q) 80 a 84  ,751
MILPA ALTA,Male,p) 75 a 79  ,867
LA MAGDALENA CONTRERAS,Male,r) 85   and more,901
TLAHUAC,Male,r) 85   and more,931
MILPA ALTA,Female,p) 75 a 79  ,963
CUAJIMALPA DE MORELOS,Female,r) 85   and more,971
CUAJIMALPA DE MORELOS,Female,q) 80 a 84  ,1078
LA MAGDALENA CONTRERAS,Male,q) 80 a 84  ,1096
TLAHUAC,Male,q) 80 a 84  ,1251
CUAJIMALPA DE MORELOS,Male,p) 75 a 79  ,1262
MILPA ALTA,Male,o) 70 a 74  ,1263
XOCHIMILCO,Male,r) 85   and more,1407
MILPA ALTA,Female,o) 70 a 74  ,1498
CUAJIMALPA DE MORELOS,Female,p) 75 a 79  ,1543
TLAHUAC,Female,r) 85   and more,1593
XOCHIMILCO,Male,q) 80 a 84  ,1729
LA MAGDALENA CONTRERAS,Female,q) 80 a 84  ,1736
LA MAGDALENA CONTRERAS,Female,r) 85   and more,1757
TLAHUAC,Female,q) 80 a 84  ,1766
LA MAGDALENA CONTRERAS,Male,p) 75 a 79  ,1899
MILPA ALTA,Male,n) 65 a 69  ,1911
CUAJIMALPA DE MORELOS,Male,o) 70 a 74  ,1936
MIGUEL HIDALGO,Male,r) 85   and more,1960
TLAHUAC,Male,p) 75 a 79  ,2044
MILPA ALTA,Female,n) 65 a 69  ,2101
VENUSTIANO CARRANZA,Male,r) 85   and more,2104
IZTACALCO,Male,r) 85   and more,2121
BENITO JUAREZ,Male,r) 85   and more,2122
CUAUHTEMOC,Male,r) 85   and more,2139
AZCAPOTZALCO,Male,r) 85   and more,2163
MIGUEL HIDALGO,Male,q) 80 a 84  ,2342
TLALPAN,Male,r) 85   and more,2388
IZTACALCO,Male,q) 80 a 84  ,2400
XOCHIMILCO,Female,r) 85   and more,2437
CUAJIMALPA DE MORELOS,Female,o) 70 a 74  ,2449
VENUSTIANO CARRANZA,Male,q) 80 a 84  ,2488
XOCHIMILCO,Female,q) 80 a 84  ,2506
LA MAGDALENA CONTRERAS,Female,p) 75 a 79  ,2583
TLAHUAC,Female,p) 75 a 79  ,2583
BENITO JUAREZ,Male,q) 80 a 84  ,2584
AZCAPOTZALCO,Male,q) 80 a 84  ,2628
CUAUHTEMOC,Male,q) 80 a 84  ,2705
MILPA ALTA,Male,m) 60 a 64  ,2724
CUAJIMALPA DE MORELOS,Male,n) 65 a 69  ,2897
MILPA ALTA,Female,m) 60 a 64  ,2972
ALVARO OBREGON,Male,r) 85   and more,3019
XOCHIMILCO,Male,p) 75 a 79  ,3048
LA MAGDALENA CONTRERAS,Male,o) 70 a 74  ,3072
TLALPAN,Male,q) 80 a 84  ,3249
COYOACAN,Male,r) 85   and more,3321
CUAJIMALPA DE MORELOS,Female,n) 65 a 69  ,3362
MILPA ALTA,Male,l) 55 a 59  ,3476
IZTACALCO,Male,p) 75 a 79  ,3488
TLAHUAC,Male,o) 70 a 74  ,3580
MIGUEL HIDALGO,Male,p) 75 a 79  ,3613
IZTACALCO,Female,r) 85   and more,3692
VENUSTIANO CARRANZA,Male,p) 75 a 79  ,3738
MILPA ALTA,Female,l) 55 a 59  ,3743
XOCHIMILCO,Female,p) 75 a 79  ,3746
IZTACALCO,Female,q) 80 a 84  ,3774
LA MAGDALENA CONTRERAS,Female,o) 70 a 74  ,3774
ALVARO OBREGON,Male,q) 80 a 84  ,3808
MIGUEL HIDALGO,Female,q) 80 a 84  ,3837
AZCAPOTZALCO,Female,r) 85   and more,3933
AZCAPOTZALCO,Male,p) 75 a 79  ,3966
BENITO JUAREZ,Male,p) 75 a 79  ,4031
LA MAGDALENA CONTRERAS,Male,n) 65 a 69  ,4035
MIGUEL HIDALGO,Female,r) 85   and more,4076
VENUSTIANO CARRANZA,Female,r) 85   and more,4101
COYOACAN,Male,q) 80 a 84  ,4174
CUAJIMALPA DE MORELOS,Male,m) 60 a 64  ,4180
VENUSTIANO CARRANZA,Female,q) 80 a 84  ,4184
AZCAPOTZALCO,Female,q) 80 a 84  ,4217
TLALPAN,Female,r) 85   and more,4311
CUAUHTEMOC,Male,p) 75 a 79  ,4341
TLAHUAC,Female,o) 70 a 74  ,4344
MILPA ALTA,Male,k) 50 a 54  ,4355
CUAUHTEMOC,Female,r) 85   and more,4508
BENITO JUAREZ,Female,q) 80 a 84  ,4764
TLALPAN,Female,q) 80 a 84  ,4809
MILPA ALTA,Male,j) 45 a 49  ,4838
CUAJIMALPA DE MORELOS,Female,m) 60 a 64  ,4863
CUAUHTEMOC,Female,q) 80 a 84  ,4863
XOCHIMILCO,Male,o) 70 a 74  ,4882
IZTACALCO,Female,p) 75 a 79  ,4907
MILPA ALTA,Male,i) 40 a 44  ,4984
MILPA ALTA,Female,k) 50 a 54  ,5073
MILPA ALTA,Male,a) 0 a 4  ,5173
BENITO JUAREZ,Female,r) 85   and more,5175
MILPA ALTA,Female,a) 0 a 4  ,5175
MILPA ALTA,Male,h) 35 a 39  ,5176
IZTACALCO,Male,o) 70 a 74  ,5192
LA MAGDALENA CONTRERAS,Female,n) 65 a 69  ,5213
MIGUEL HIDALGO,Male,o) 70 a 74  ,5254
MIGUEL HIDALGO,Female,p) 75 a 79  ,5347
MILPA ALTA,Female,j) 45 a 49  ,5377
TLAHUAC,Male,n) 65 a 69  ,5390
CUAJIMALPA DE MORELOS,Male,l) 55 a 59  ,5397
LA MAGDALENA CONTRERAS,Male,m) 60 a 64  ,5424
VENUSTIANO CARRANZA,Female,p) 75 a 79  ,5465
IZTAPALAPA,Male,r) 85   and more,5513
TLALPAN,Male,p) 75 a 79  ,5532
MILPA ALTA,Male,g) 30 a 34  ,5577
MILPA ALTA,Female,i) 40 a 44  ,5607
ALVARO OBREGON,Female,r) 85   and more,5655
AZCAPOTZALCO,Female,p) 75 a 79  ,5665
GUSTAVO A. MADERO,Male,r) 85   and more,5681
VENUSTIANO CARRANZA,Male,o) 70 a 74  ,5765
MILPA ALTA,Female,h) 35 a 39  ,5819
ALVARO OBREGON,Female,q) 80 a 84  ,5849
AZCAPOTZALCO,Male,o) 70 a 74  ,5925
ALVARO OBREGON,Male,p) 75 a 79  ,5966
XOCHIMILCO,Female,o) 70 a 74  ,5993
MILPA ALTA,Female,g) 30 a 34  ,6113
TLAHUAC,Female,n) 65 a 69  ,6121
CUAJIMALPA DE MORELOS,Female,l) 55 a 59  ,6160
