Order No.,Date,Time,Table,Waiter,Type,Product,Category,Price,Cost,Tip,Client Tye
1,2014-02-01,18:43,1,Rodolfo,Beverages,Tecate,Beer,25,18,0.07,New
1,2014-02-01,18:43,1,Rodolfo,Beverages,Tisana,Non-alcoholic beverages,25,18,0.07,New
1,2014-02-01,18:43,1,Rodolfo,Beverages,Café americano,Non-alcoholic beverages,18,12.6,0.07,New
1,2014-02-01,18:43,1,Rodolfo,Beverages,Te helado,Non-alcoholic beverages,25,18.5,0.07,New
1,2014-02-01,18:43,1,Rodolfo,Food,Pera Rostizada,Salads,89,75.65,0.07,New
1,2014-02-01,18:43,1,Rodolfo,Food,Pan de Elote,Desserts,40,29.6,0.07,New
2,2015-01-30,23:59,17,Mauricio,Beverages,Tecate,Beer,25,18,0.2,New
2,2015-01-30,23:59,17,Mauricio,Beverages,Pacifico,Beer,30,21.9,0.2,New
2,2015-01-30,23:59,17,Mauricio,Beverages,Café americano,Non-alcoholic beverages,18,12.6,0.2,New
2,2015-01-30,23:59,17,Mauricio,Beverages,Prímula Espresso,Non-alcoholic beverages,25,17.75,0.2,New
2,2015-01-30,23:59,17,Mauricio,Beverages,Te helado,Non-alcoholic beverages,25,18.5,0.2,New
2,2015-01-30,23:59,17,Mauricio,Food,Cítricos,Salads,69,56.58,0.2,New
2,2015-01-30,23:59,17,Mauricio,Food,Arrachera del Chef,Main course,135,95.85,0.2,New
2,2015-01-30,23:59,17,Mauricio,Food,Salmón,Salads,84,63,0.2,New
2,2015-01-30,23:59,17,Mauricio,Food,Quesadillas Gobernador,Tacos,78,60.06,0.2,New
2,2015-01-30,23:59,17,Mauricio,Food,Camarones al Coco,Salads,84,68.88,0.2,New
2,2015-01-30,23:59,17,Mauricio,Food,Mejillones Horneados,Entrees,75,56.25,0.2,New
2,2015-01-30,23:59,17,Mauricio,Food,Espárragos Envueltos,Entrees,78,63.18,0.2,New
3,2014-04-21,19:12,1,Joel,Beverages,Corona,Beer,30,24.9,0.09,New
3,2014-04-21,19:12,1,Joel,Beverages,Modelo,Beer,30,23.7,0.09,New
3,2014-04-21,19:12,1,Joel,Beverages,Naranjada,Non-alcoholic beverages,25,18.25,0.09,New
3,2014-04-21,19:12,1,Joel,Beverages,Prímula Espresso,Non-alcoholic beverages,25,17.75,0.09,New
3,2014-04-21,19:12,1,Joel,Beverages,Capuccino,Non-alcoholic beverages,30,21.6,0.09,New
3,2014-04-21,19:12,1,Joel,Food,Esfera del Cheff,Desserts,50,39,0.09,New
3,2014-04-21,19:12,1,Joel,Food,Strudel de Manzana,Desserts,45,31.5,0.09,New
3,2014-04-21,19:12,1,Joel,Food,Lasagna Ratatouille,Pasta,75,54.75,0.09,New
3,2014-04-21,19:12,1,Joel,Food,Camarones al Coco,Salads,84,68.88,0.09,New
4,2015-01-09,22:48,6,Mauricio,Beverages,Limonada,Non-alcoholic beverages,25,20,0.2,New
4,2015-01-09,22:48,6,Mauricio,Beverages,Refresco,Non-alcoholic beverages,20,16,0.2,New
4,2015-01-09,22:48,6,Mauricio,Beverages,Capuccino,Non-alcoholic beverages,30,21.6,0.2,New
4,2015-01-09,22:48,6,Mauricio,Beverages,Café americano,Non-alcoholic beverages,18,12.6,0.2,New
4,2015-01-09,22:48,6,Mauricio,Beverages,Victoria,Beer,30,21.3,0.2,New
4,2015-01-09,22:48,6,Mauricio,Beverages,Indio,Beer,25,21.25,0.2,New
4,2015-01-09,22:48,6,Mauricio,Beverages,Pacifico,Beer,30,21.9,0.2,New
4,2015-01-09,22:48,6,Mauricio,Beverages,Espresso,Non-alcoholic beverages,20,14.6,0.2,New
4,2015-01-09,22:48,6,Mauricio,Food,Pollo Silvestre,Main course,125,90,0.2,New
4,2015-01-09,22:48,6,Mauricio,Food,Margarita,Pizza,105,73.5,0.2,New
4,2015-01-09,22:48,6,Mauricio,Food,Ensalada Prímula,Salads,80,68,0.2,New
4,2015-01-09,22:48,6,Mauricio,Food,Tacos Capeados,Tacos,75,60.75,0.2,New
4,2015-01-09,22:48,6,Mauricio,Food,Tropical,Pizza,125,91.25,0.2,New
4,2015-01-09,22:48,6,Mauricio,Food,Espárragos Envueltos,Entrees,78,63.18,0.2,New
4,2015-01-09,22:48,6,Mauricio,Food,Pasta 4 Quesos,Pasta,69,53.13,0.2,New
4,2015-01-09,22:48,6,Mauricio,Food,Quesadillas Gobernador,Tacos,78,60.06,0.2,New
5,2014-03-25,21:21,2,Valentina,Beverages,Prímula Espresso,Non-alcoholic beverages,25,17.75,0.16,Recurrent
5,2014-03-25,21:21,2,Valentina,Beverages,Naranjada,Non-alcoholic beverages,25,18.25,0.16,Recurrent
5,2014-03-25,21:21,2,Valentina,Beverages,Modelo,Beer,30,23.7,0.16,Recurrent
5,2014-03-25,21:21,2,Valentina,Beverages,Indio,Beer,25,21.25,0.16,Recurrent
5,2014-03-25,21:21,2,Valentina,Beverages,Victoria,Beer,30,21.3,0.16,Recurrent
5,2014-03-25,21:21,2,Valentina,Beverages,Espresso,Non-alcoholic beverages,20,14.6,0.16,Recurrent
