Recruitment platform,Budget,No. Of applicants,No. Of candidates,No. Of candidates hired,Process time (days)
LinkedIn,4600,125,5,2,76
Promeritum,5200,346,16,6,51
HotJobs,1600,84,6,6,71
OCC,11800,276,48,30,41
LinkedIn,6200,318,37,31,45
Promeritum,8000,195,11,4,59
HotJobs,2400,125,9,1,73
OCC,11400,190,6,5,33
LinkedIn,7000,273,13,9,76
Promeritum,9800,233,32,20,52
HotJobs,3000,70,11,3,78
OCC,10200,361,35,33,44
LinkedIn,4800,266,53,13,63
Promeritum,6600,329,15,14,41
HotJobs,2000,159,22,2,73
OCC,8600,197,33,9,47
LinkedIn,4000,302,27,23,41
Promeritum,7800,357,26,24,47
HotJobs,3000,172,26,26,40
OCC,8400,311,38,8,31
LinkedIn,7000,295,37,2,87
Promeritum,6200,305,30,13,43
HotJobs,2000,190,12,4,86
OCC,11200,521,77,50,37
LinkedIn,6400,115,15,12,80
Promeritum,7400,125,7,3,31
HotJobs,2200,186,15,10,45
OCC,8000,192,22,8,60
LinkedIn,4400,146,5,5,64
Promeritum,5200,185,31,3,40
HotJobs,2800,108,18,1,58
