Entidad federativa,Total,Automóviles suma,Automóviles oficial,Automóviles público,Automóviles particular,Camiones pasajeros suma,Camiones pasajeros oficial,Camiones pasajeros público,Camiones pasajeros particular,Motocicletas suma,Motocicletas oficial,Motocicletas de alquiler,Motocicletas particular
Total Nacional,47790950,32291454,58255,698595,31534604,437412,3172,189206,245034,4083422,14432,17430,4051560
Baja California 2/,1734061,1315649,0,13694,1301955,10261,0,6969,3292,26452,0,0,26452
Baja California Sur,510615,345033,467,10944,333622,5847,98,1104,4645,10862,47,80,10735
Campeche,325505,160974,428,2908,157638,939,22,423,494,100544,183,304,100057
Coahuila de Zaragoza 2/,903194,549332,314,16157,532861,98693,8,7774,90911,23051,206,0,22845
Colima,341633,177238,1055,2373,173810,1424,29,675,720,62946,287,0,62659
Chiapas,891503,453345,2357,12498,438490,8537,85,7533,919,113523,722,1107,111694
Chihuahua 2/,1599601,1129300,2565,3275,1123460,8897,284,4905,3708,25784,498,0,25286
Ciudad de México 2/,5801469,5278405,0,134375,5144030,30901,0,2275,28626,406671,0,0,406671
Durango,636525,402293,269,10270,391754,2724,4,2106,614,29314,163,0,29151
Guanajuato,2041008,1116211,8818,10463,1096930,30051,697,5205,24149,325036,2727,0,322309
Guerrero,1182837,821776,508,56773,764495,58402,67,10496,47839,82592,39,366,82187
Hidalgo,691046,428937,1915,8536,418486,2062,9,1820,233,20699,329,2,20368
Jalisco,3732984,2222924,5586,18493,2198845,10845,227,5793,4825,475844,1043,30,474771
México,7342919,5530839,3983,94486,5432370,54614,142,53706,766,496457,170,0,496287
Michoacán de Ocampo,2629954,1322689,1081,32020,1289588,13690,12,9774,3904,253094,612,0,252482
Morelos,790470,592631,730,16681,575220,10630,3,4750,5877,60053,198,0,59855
Nayarit,449029,221142,0,9748,211394,1935,0,1152,783,52957,0,0,52957
Nuevo León,2269029,1706431,3310,32628,1670493,10169,8,8773,1388,84288,694,0,83594
Oaxaca,665332,289641,1187,22596,265858,4743,757,2474,1512,136606,1,10951,125654
Puebla,1553518,993387,4633,30261,958493,11238,177,7737,3324,96429,1142,0,95287
Querétaro,725124,493700,1428,7015,485257,3889,16,2626,1247,42481,460,19,42002
Quintana Roo,815612,478645,210,44804,433631,2561,12,1973,576,215159,294,2346,212519
San Luis Potosí,1195683,647601,1528,6943,639130,5147,27,4197,923,176643,672,0,175971
Sinaloa,1203945,707923,247,3498,704178,7916,1,4564,3351,100288,534,0,99754
Sonora 2/,1317902,882404,4397,4492,873515,4397,123,1448,2826,36107,657,1,35449
Tabasco,620335,361740,1773,9627,350340,2991,70,1906,1015,109156,425,2216,106515
Tamaulipas,1192246,822919,2714,11392,808813,5986,171,4485,1330,25518,326,0,25192
Tlaxcala,663255,460990,737,1104,459149,6406,4,5796,606,52911,217,0,52694
Veracruz de Ignacio de la Llave,2061918,1253173,845,55790,1196538,13158,32,10671,2455,162855,297,0,162558
Yucatán,822902,508165,3706,7167,497292,2880,52,2206,622,177921,1056,6,176859
Zacatecas,467879,235985,893,2538,232554,1969,26,1153,790,31663,158,1,31504
