PROGRAM,FACULTY / SCHOOL,# STUDENTS,WITH SCHOLARSHIP (#),ENGLISH LEVEL,STUDENT EXCHANGE AVAILABLE
Música,Bellas Artes,324,15,Basic,YES
Enfermería,Ciencias de la Salud,487,44,Basic,
Psicología,Ciencias de la Salud,811,32,Medium,
Medicina,Ciencias de la Salud,1135,82,High,YES
Comunicación,Comunicación,649,14,High,
Derecho,Derecho,1460,89,Basic,YES
Gobierno,Economía y Gobierno,324,6,Basic,
Economía,Economía y Gobierno,487,18,Medium,YES
Administración y dirección,Empresariales,487,5,High,
Recursos Humanos,Empresariales,649,27,Medium,
Contaduría,Empresariales,811,22,Medium,YES
Mercadotecnia,Empresariales,973,37,High,YES
Finanzas,Empresariales,1135,63,High,YES
Negocios Internacionales,Empresariales,1297,59,High,
Administración y Hospitalidad,Esdai,487,9,Medium,YES
Filosofía,Filosofía,324,4,Basic,
Ing. Mecánica,Ingeniería,324,8,High,YES
Ing. Animación,Ingeniería,487,12,High,YES
Ing. Mecatrónica,Ingeniería,487,19,High,
Ing. Innovación,Ingeniería,649,22,High,YES
Ing. Tecnologías de la Información,Ingeniería,811,43,High,
Ing. Industrial,Ingeniería,1135,79,High,YES
Pedagogía,Pedagogía,487,7,Basic,YES
