Date,Name of Items,Quantity Purchase,Unit value,Amount
2022-04-01,Computer,72,34500,2484000
2022-04-05,Laptop,8,52000,416000
2022-04-08,Keyboard,15,1500,22500
2022-04-10,Anti Virus,15,1000,15000
2022-05-05,Keyboard,10,1500,15000
2022-05-08,Computer,48,34500,1656000
2022-05-15,Windows Software,8,7450,59600
2022-05-25,Laptop,15,52000,780000
2022-07-09,Keyboard,20,1500,30000
2022-07-10,Computer,12,34500,414000
2022-07-11,Laptop,5,52000,260000
2022-08-12,Keyboard,1,1500,1500
2022-09-18,Keyboard,5,1500,7500
2022-10-14,Computer,18,34500,621000
2022-11-15,Windows Software,5,7450,37250
2022-12-26,Computer,12,34500,414000
2023-01-17,Laptop,4,52000,208000
2023-02-18,Keyboard,4,1500,6000
2023-03-10,Computer,18,34500,621000
2023-03-15,Windows Software,5,7450,37250
