Applican,Math,Statistics,Logic
1325,NP,NP,AP
1326,AP,AP,NA
1327,NP,NA,NP
1328,NA,AP,NA
1329,NP,NP,NP
1330,AP,NP,AP
1331,NP,AP,NP
1332,NP,AP,NP
1333,AP,AP,NA
1334,AP,AP,NA
1335,AP,NA,AP
1336,NP,AP,NP
1337,AP,NP,NP
1338,NP,NP,NP
1339,NP,NA,AP
1340,NP,NP,AP
1341,NP,NP,NA
1342,NP,AP,AP
1343,NP,NP,NP
1344,NA,AP,NP
1345,NP,NA,NA
1346,NP,NP,NP
1347,AP,NA,NP
1348,AP,NA,NA
1349,NA,AP,NA
1350,NP,AP,AP
1351,NA,NP,AP
1352,NP,NP,NA
1353,AP,AP,NP
1354,NP,AP,NA
1355,NP,NA,NA
1356,NP,AP,AP
1357,NP,NA,NP
1358,NA,NP,NP
1359,NA,NP,NA
1360,NA,NA,AP
