Estimated Delivery Date,First Product,Cost,Delivery Date,Delivery Channel,Delivery Company,Delivery Person
2022-03-01,Laptop,2479.94,2022-03-01,Delivery Van,Astro,Sam
2022-03-15,Laptop,1732.99,2022-03-16,Bike,Chiral,Janet
2022-03-17,Laptop,1174.99,2022-03-18,Delivery Van,Astro,Sam
2022-03-19,Laptop,1799.99,2022-03-21,Bike,Chiral,Leonardo
2022-03-22,Laptop,3164.99,2022-03-23,Rented Car,Umbrella,Patrick
2022-03-25,Laptop,1199,2022-03-26,Delivery Van,Chiral,Heather
2022-03-28,Mobile Phone,699.95,2022-03-29,Bike,Astro,Sam
2022-03-29,Mobile Phone,949,2022-03-29,Bike,Umbrella,Daniel
2022-04-02,Mobile Phone,429,2022-04-03,Delivery Van,Umbrella,Stewart
2022-04-05,Mobile Phone,1525,2022-04-06,Rented Car,Astro,Sam
2022-04-11,Mobile Phone,475,2022-04-13,Rented Car,Chiral,Daniel
2022-04-17,Mobile Phone,449,2022-04-18,Bike,Astro,Sam
2022-04-23,Fitness Tracker,149.95,2022-04-24,Delivery Van,Chiral,Janet
2022-04-27,Fitness Tracker,129.95,2022-04-28,Bike,Astro,Sam
2022-05-04,Smart Watch,399,2022-05-06,Delivery Van,Umbrella,Patrick
2022-05-07,Laptop,1799.99,2022-05-07,Delivery Van,Umbrella,Jennie
2022-05-13,Smart Watch,183.9,2022-05-14,Bike,Astro,Sam
2022-05-15,Smart Watch,299,2022-05-16,Rented Car,Chiral,Leonardo
2022-05-17,Tablet,560,2022-05-19,Bike,Chiral,Janet
2022-05-19,Tablet,565,2022-05-19,Delivery Van,Chiral,Heather
