Date,Service,Stylist name,Payment,Price
2013-05-01,Shaving,Jane,cash,7
2013-05-01,Shaving,Martha,credit card,7
2013-05-01,Shaving,Lucy,cash,7
2013-05-01,Washing and combing,Alex,cash,60
2013-05-01,Dyeing,Alex,credit card,33
2013-05-01,All service,Rachel,cash,67
2013-05-01,Meeting hairstyles,Lucy,cash,33
2013-05-01,Shaving,Ashley,cash,7
2013-05-02,Shaving,Ashley,credit card,7
2013-05-02,Shaving,Sandy,credit card,17
2013-05-02,Kids,Sandy,cash,3
2013-05-02,Shaving,Ashley,cash,7
2013-05-02,Shaving,Lucy,cash,7
2013-05-02,Shaving,Jane,credit card,7
2013-05-02,Washing and combing,Sandy,cash,60
2013-05-02,Dyeing,Rachel,cash,33
2013-05-02,All service,Alex,credit card,67
2013-05-02,Meeting hairstyles,Jane,cash,33
2013-05-02,Washing and combing,Martha,cash,23
2013-05-02,Shaving,Sandy,cash,7
2013-05-02,Shaving,Jane,cash,17
2013-05-02,Kids,Ashley,cash,3
2013-05-03,Kids,Sandy,credit card,3
2013-05-03,Kids,Lucy,cash,3
2013-05-03,Washing and combing,Martha,cash,60
2013-05-03,Dyeing,Lucy,credit card,33
2013-05-03,All service,Rachel,cash,67
2013-05-03,Meeting hairstyles,Martha,cash,33
2013-05-03,Washing and combing,Jane,credit card,23
2013-05-03,Shaving,Rachel,cash,7
2013-05-04,Shaving,Martha,cash,17
2013-05-04,Kids,Alex,cash,3
2013-05-04,Kids,Sandy,credit card,3
2013-05-04,Meeting hairstyles,Sandy,credit card,40
2013-05-04,Kids,Jane,credit card,3
2013-05-04,Kids,Martha,cash,3
2013-05-04,Kids,Rachel,cash,3
2013-05-05,Meeting hairstyles,Sandy,cash,33
2013-05-05,Meeting hairstyles,Alex,credit card,33
2013-05-05,Shaving,Martha,cash,7
2013-05-05,Shaving,Martha,cash,17
2013-05-05,Washing and combing,Rachel,cash,33
2013-05-05,Washing and combing,Rachel,credit card,40
2013-05-05,Meeting hairstyles,Rachel,cash,40
2013-05-05,Washing and combing,Lucy,cash,60
2013-05-05,Dyeing,Sandy,cash,33
2013-05-05,All service,Sandy,cash,67
2013-05-05,Meeting hairstyles,Martha,cash,33
2013-05-05,Shaving,Ashley,cash,7
2013-05-05,Shaving,Rachel,cash,7
2013-05-06,Meeting hairstyles,Rachel,cash,33
2013-05-06,Shaving,Sandy,credit card,7
2013-05-06,Washing and combing,Lucy,cash,40
2013-05-06,Meeting hairstyles,Alex,cash,40
2013-05-06,Washing and combing,Rachel,cash,60
2013-05-06,Dyeing,Ashley,cash,33
2013-05-06,All service,Rachel,cash,67
2013-05-06,Meeting hairstyles,Sandy,cash,33
2013-05-06,Washing and combing,Alex,cash,23
2013-05-07,Meeting hairstyles,Sandy,credit card,33
2013-05-07,Shaving,Rachel,cash,17
2013-05-07,Washing and combing,Sandy,cash,33
2013-05-07,Washing and combing,Martha,cash,40
2013-05-07,Shaving,Rachel,cash,7
2013-05-07,Shaving,Ashley,cash,7
2013-05-08,Dyeing,Lucy,cash,33
2013-05-08,All service,Rachel,credit card,67
2013-05-08,Shaving,Lucy,credit card,7
2013-05-08,Shaving,Rachel,credit card,7
2013-05-08,Meeting hairstyles,Ashley,cash,33
2013-05-08,Shaving,Alex,cash,17
2013-05-08,Washing and combing,Rachel,cash,33
2013-05-08,Washing and combing,Rachel,cash,40
2013-05-08,Shaving,Rachel,cash,7
2013-05-08,Meeting hairstyles,Alex,credit card,33
2013-05-08,Shaving,Sandy,cash,7
2013-05-08,Meeting hairstyles,Jane,cash,33
2013-05-08,Shaving,Ashley,credit card,7
2013-05-09,Shaving,Ashley,credit card,7
2013-05-09,Shaving,Rachel,cash,7
2013-05-09,Shaving,Rachel,credit card,17
2013-05-09,Washing and combing,Jane,credit card,33
2013-05-09,Washing and combing,Lucy,cash,40
2013-05-09,Shaving,Rachel,cash,7
2013-05-09,Shaving,Ashley,cash,7
2013-05-09,Dyeing,Rachel,cash,33
2013-05-09,Shaving,Martha,credit card,7
2013-05-09,Dyeing,Lucy,cash,33
2013-05-10,Washing and combing,Jane,cash,23
2013-05-10,Shaving,Rachel,cash,7
2013-05-10,Shaving,Rachel,credit card,17
2013-05-10,Washing and combing,Alex,cash,33
2013-05-10,Meeting hairstyles,Rachel,credit card,33
2013-05-10,Meeting hairstyles,Ashley,cash,40
2013-05-10,Washing and combing,Alex,cash,60
2013-05-10,Dyeing,Alex,cash,33
2013-05-10,All service,Ashley,cash,67
2013-05-10,Meeting hairstyles,Rachel,credit card,33
2013-05-10,Washing and combing,Jane,credit card,23
2013-05-11,Shaving,Sandy,credit card,7
2013-05-11,Shaving,Alex,credit card,17
2013-05-11,Washing and combing,Sandy,credit card,33
2013-05-11,Shaving,Martha,cash,7
2013-05-11,Dyeing,Ashley,cash,33
2013-05-11,Dyeing,Martha,cash,33
2013-05-11,Dyeing,Rachel,cash,33
2013-05-11,Shaving,Alex,cash,7
2013-05-11,Meeting hairstyles,Lucy,cash,33
2013-05-11,Washing and combing,Alex,credit card,23
2013-05-12,Shaving,Ashley,credit card,7
2013-05-12,Shaving,Ashley,cash,17
2013-05-12,Dyeing,Ashley,cash,33
2013-05-12,Shaving,Jane,cash,7
2013-05-12,Shaving,Ashley,credit card,7
2013-05-12,Washing and combing,Lucy,cash,60
2013-05-12,Dyeing,Jane,credit card,33
2013-05-12,Shaving,Jane,credit card,7
2013-05-13,Shaving,Lucy,cash,7
2013-05-13,Dyeing,Jane,credit card,33
2013-05-13,Shaving,Rachel,cash,7
2013-05-13,Shaving,Rachel,cash,7
2013-05-13,Washing and combing,Alex,credit card,33
2013-05-13,Dyeing,Martha,cash,33
2013-05-13,Dyeing,Rachel,cash,33
2013-05-13,Dyeing,Sandy,cash,33
2013-05-13,Dyeing,Lucy,cash,33
2013-05-13,All service,Sandy,cash,67
2013-05-13,Dyeing,Sandy,cash,33
2013-05-13,All service,Rachel,credit card,67
2013-05-13,Shaving,Alex,credit card,7
2013-05-13,Shaving,Martha,cash,17
2013-05-14,Washing and combing,Jane,cash,33
2013-05-14,Dyeing,Martha,credit card,33
2013-05-14,Meeting hairstyles,Martha,credit card,40
2013-05-14,All service,Lucy,cash,67
2013-05-14,All service,Lucy,cash,67
2013-05-14,Dyeing,Alex,cash,33
2013-05-14,Dyeing,Ashley,cash,33
2013-05-14,All service,Rachel,cash,67
2013-05-14,Dyeing,Martha,cash,33
2013-05-15,Shaving,Ashley,credit card,17
2013-05-15,Washing and combing,Alex,credit card,33
2013-05-15,Washing and combing,Rachel,cash,40
2013-05-15,Meeting hairstyles,Jane,credit card,40
2013-05-15,Dyeing,Alex,cash,33
2013-05-15,Dyeing,Rachel,cash,33
2013-05-15,All service,Martha,cash,67
2013-05-15,All service,Jane,credit card,67
2013-05-15,Washing and combing,Sandy,credit card,23
2013-05-16,Shaving,Sandy,cash,7
2013-05-16,Shaving,Ashley,cash,17
2013-05-16,Dyeing,Sandy,credit card,33
2013-05-16,Dyeing,Martha,credit card,33
2013-05-16,Meeting hairstyles,Ashley,cash,40
2013-05-16,Washing and combing,Sandy,cash,60
2013-05-16,Dyeing,Jane,cash,33
2013-05-16,All service,Ashley,cash,67
2013-05-16,Meeting hairstyles,Alex,credit card,33
2013-05-16,Washing and combing,Sandy,cash,23
2013-05-16,Shaving,Rachel,cash,7
2013-05-16,Shaving,Lucy,credit card,17
2013-05-16,Washing and combing,Rachel,cash,33
2013-05-17,Dyeing,Ashley,cash,33
2013-05-17,Dyeing,Sandy,cash,33
2013-05-17,Washing and combing,Rachel,credit card,60
2013-05-17,Dyeing,Sandy,credit card,33
2013-05-17,All service,Martha,credit card,67
2013-05-17,Meeting hairstyles,Rachel,credit card,33
2013-05-17,Dyeing,Rachel,cash,33
2013-05-17,Shaving,Sandy,cash,7
2013-05-18,Shaving,Lucy,cash,17
2013-05-18,Shaving,Ashley,cash,7
2013-05-18,Shaving,Jane,credit card,17
2013-05-18,Dyeing,Martha,cash,33
2013-05-18,Shaving,Sandy,cash,7
2013-05-18,Shaving,Lucy,credit card,7
2013-05-18,Dyeing,Martha,credit card,33
2013-05-19,Shaving,Sandy,credit card,7
2013-05-20,Shaving,Alex,credit card,7
2013-05-20,Dyeing,Sandy,credit card,33
2013-05-20,Shaving,Rachel,credit card,7
2013-05-21,Shaving,Ashley,credit card,7
2013-05-21,Shaving,Rachel,cash,7
2013-05-21,Dyeing,Rachel,cash,33
2013-05-22,Meeting hairstyles,Martha,cash,40
2013-05-23,Dyeing,Martha,credit card,33
2013-05-23,Meeting hairstyles,Alex,cash,40
2013-05-24,Meeting hairstyles,Rachel,credit card,33
2013-05-24,Meeting hairstyles,Rachel,cash,33
2013-05-24,Meeting hairstyles,Martha,cash,33
2013-05-24,Washing and combing,Lucy,credit card,60
2013-05-24,Dyeing,Jane,cash,33
2013-05-24,Washing and combing,Martha,credit card,60
2013-05-25,Shaving,Lucy,credit card,17
2013-05-25,Dyeing,Rachel,credit card,33
2013-05-25,Washing and combing,Sandy,cash,60
2013-05-25,Washing and combing,Lucy,cash,60
2013-05-26,Shaving,Rachel,cash,17
2013-05-26,Shaving,Martha,cash,17
2013-05-26,Dyeing,Sandy,credit card,33
2013-05-27,All service,Rachel,cash,67
2013-05-27,Washing and combing,Jane,credit card,60
2013-05-27,Washing and combing,Rachel,cash,60
2013-05-27,All service,Rachel,cash,67
2013-05-28,Dyeing,Sandy,cash,33
2013-05-28,Meeting hairstyles,Ashley,cash,33
2013-05-28,Dyeing,Rachel,cash,33
2013-05-28,Meeting hairstyles,Martha,cash,33
2013-05-28,Meeting hairstyles,Lucy,cash,33
2013-05-28,Dyeing,Jane,cash,33
2013-05-28,Washing and combing,Ashley,cash,40
2013-05-29,Dyeing,Jane,cash,33
2013-05-29,Dyeing,Lucy,cash,33
2013-05-30,Washing and combing,Lucy,cash,40
2013-05-30,Dyeing,Sandy,credit card,33
2013-05-30,Dyeing,Rachel,credit card,33
2013-05-30,Shaving,Jane,credit card,17
2013-05-30,Dyeing,Rachel,cash,33
2013-05-31,Washing and combing,Jane,cash,40
2013-05-31,Washing and combing,Lucy,credit card,40
2013-05-31,Dyeing,Martha,cash,33
2013-05-31,Washing and combing,Martha,cash,40
2013-05-31,Shaving,Sandy,cash,17
2013-05-31,Shaving,Rachel,credit card,17
2013-05-31,Washing and combing,Ashley,cash,40
2013-05-31,Washing and combing,Rachel,credit card,40
