date added,name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating
2021-07-27 01:29:37,100% Bran,N,C,70,4,1,130,10,5,6,280,25,3,1,0.33,68.402973
2022-05-18 04:07:38,100% Natural Bran,Q,C,120,3,5,15,2,8,8,135,0,3,1,1,33.983679
2022-01-22 07:54:39,All-Bran,K,C,70,4,1,260,9,7,5,320,25,3,1,0.33,59.425505
2021-07-09 00:37:24,All-Bran with Extra Fiber,K,C,50,4,0,140,14,8,0,330,25,3,1,0.5,93.704912
2021-07-31 05:46:25,Almond Delight,R,C,110,2,2,200,1,14,8,-1,25,3,1,0.75,34.384843
2021-07-29 07:37:18,Apple Cinnamon Cheerios,G,C,110,2,2,180,1.5,10.5,10,70,25,1,1,0.75,29.509541
2021-07-17 06:33:56,Apple Jacks,K,C,110,2,0,125,1,11,14,30,25,2,1,1,33.174094
2022-02-16 00:41:16,Basic 4,G,C,130,3,2,210,2,18,8,100,25,3,1.33,0.75,37.038562
2021-12-25 04:51:08,Bran Chex,R,C,90,2,1,200,4,15,6,125,25,1,1,0.67,49.120253
2021-07-15 00:58:47,Bran Flakes,P,C,90,3,0,210,5,13,5,190,25,3,1,0.67,53.313813
2021-10-18 07:23:56,Cap'n'Crunch,Q,C,120,1,2,220,0,12,12,35,25,2,1,0.75,18.042851
2021-10-04 06:38:44,Cheerios,G,C,110,6,2,290,2,17,1,105,25,1,1,1.25,50.764999
2022-05-14 05:43:11,Cinnamon Toast Crunch,G,C,120,1,3,210,0,13,9,45,25,2,1,0.75,19.823573
2021-11-21 02:18:03,Clusters,G,C,110,3,2,140,2,13,7,105,25,3,1,0.5,40.400208
2021-12-10 06:06:17,Cocoa Puffs,G,C,110,1,1,180,0,12,13,55,25,2,1,1,22.736446
2022-03-14 01:35:00,Corn Chex,R,C,110,2,0,280,0,22,3,25,25,1,1,1,41.445019
2021-05-10 00:20:01,Corn Flakes,K,C,100,2,0,290,1,21,2,35,25,1,1,1,45.863324
2021-07-07 01:51:44,Corn Pops,K,C,110,1,0,90,1,13,12,20,25,2,1,1,35.782791
2022-02-23 07:02:04,Count Chocula,G,C,110,1,1,180,0,12,13,65,25,2,1,1,22.396513
2021-09-07 05:11:41,Cracklin' Oat Bran,K,C,110,3,3,140,4,10,7,160,25,3,1,0.5,40.448772
2021-10-20 05:31:31,Cream of Wheat (Quick),N,H,100,3,0,80,1,21,0,-1,0,2,1,1,64.533816
2021-11-03 07:51:49,Crispix,K,C,110,2,0,220,1,21,3,30,25,3,1,1,46.895644
2022-05-05 03:08:07,Crispy Wheat & Raisins,G,C,100,2,1,140,2,11,10,120,25,3,1,0.75,36.176196
2021-07-24 05:47:02,Double Chex,R,C,100,2,0,190,1,18,5,80,25,3,1,0.75,44.330856
2022-02-08 03:06:00,Froot Loops,K,C,110,2,1,125,1,11,13,30,25,2,1,1,32.207582
2022-04-17 01:40:21,Frosted Flakes,K,C,110,1,0,200,1,14,11,25,25,1,1,0.75,31.435973
2021-05-01 05:59:27,Frosted Mini-Wheats,K,C,100,3,0,0,3,14,7,100,25,2,1,0.8,58.345141
2021-10-20 03:28:34,Fruit & Fibre Dates; Walnuts; and Oats,P,C,120,3,2,160,5,12,10,200,25,3,1.25,0.67,40.917047
2022-01-10 04:51:57,Fruitful Bran,K,C,120,3,0,240,5,14,12,190,25,3,1.33,0.67,41.015492
2021-05-22 01:50:20,Fruity Pebbles,P,C,110,1,1,135,0,13,12,25,25,2,1,0.75,28.025765
2021-05-02 02:59:21,Golden Crisp,P,C,100,2,0,45,0,11,15,40,25,1,1,0.88,35.252444
2022-03-14 00:32:56,Golden Grahams,G,C,110,1,1,280,0,15,9,45,25,2,1,0.75,23.804043
2021-11-01 04:43:40,Grape Nuts Flakes,P,C,100,3,1,140,3,15,5,85,25,3,1,0.88,52.076897
2022-03-22 03:13:02,Grape-Nuts,P,C,110,3,0,170,3,17,3,90,25,3,1,0.25,53.371007
2022-02-02 07:57:48,Great Grains Pecan,P,C,120,3,3,75,3,13,4,100,25,3,1,0.33,45.811716
2021-08-01 01:12:37,Honey Graham Ohs,Q,C,120,1,2,220,1,12,11,45,25,2,1,1,21.871292
2022-04-05 01:45:58,Honey Nut Cheerios,G,C,110,3,1,250,1.5,11.5,10,90,25,1,1,0.75,31.072217
2022-03-03 07:45:20,Honey-comb,P,C,110,1,0,180,0,14,11,35,25,1,1,1.33,28.742414
2021-05-27 07:29:14,Just Right Crunchy  Nuggets,K,C,110,2,1,170,1,17,6,60,100,3,1,1,36.523683
2022-05-19 03:21:00,Just Right Fruit & Nut,K,C,140,3,1,170,2,20,9,95,100,3,1.3,0.75,36.471512
2021-09-18 00:45:37,Kix,G,C,110,2,1,260,0,21,3,40,25,2,1,1.5,39.241114
2021-06-30 00:56:42,Life,Q,C,100,4,2,150,2,12,6,95,25,2,1,0.67,45.328074
2022-02-05 01:07:09,Lucky Charms,G,C,110,2,1,180,0,12,12,55,25,2,1,1,26.734515
2022-05-02 05:35:07,Maypo,A,H,100,4,1,0,0,16,3,95,25,2,1,1,54.850917
2021-09-26 05:21:09,Muesli Raisins; Dates; & Almonds,R,C,150,4,3,95,3,16,11,170,25,3,1,1,37.136863
2021-07-07 02:27:07,Muesli Raisins; Peaches; & Pecans,R,C,150,4,3,150,3,16,11,170,25,3,1,1,34.139765
2022-02-24 05:17:49,Mueslix Crispy Blend,K,C,160,3,2,150,3,17,13,160,25,3,1.5,0.67,30.313351
2022-01-09 00:48:00,Multi-Grain Cheerios,G,C,100,2,1,220,2,15,6,90,25,1,1,1,40.105965
2022-05-27 03:45:34,Nut&Honey Crunch,K,C,120,2,1,190,0,15,9,40,25,2,1,0.67,29.924285
2021-09-21 06:44:23,Nutri-Grain Almond-Raisin,K,C,140,3,2,220,3,21,7,130,25,3,1.33,0.67,40.69232
2021-11-14 06:06:08,Nutri-grain Wheat,K,C,90,3,0,170,3,18,2,90,25,3,1,1,59.642837
2021-10-25 06:32:21,Oatmeal Raisin Crisp,G,C,130,3,2,170,1.5,13.5,10,120,25,3,1.25,0.5,30.450843
2022-05-12 01:54:18,Post Nat. Raisin Bran,P,C,120,3,1,200,6,11,14,260,25,3,1.33,0.67,37.840594
2021-11-09 00:53:33,Product 19,K,C,100,3,0,320,1,20,3,45,100,3,1,1,41.50354
2022-04-29 03:08:02,Puffed Rice,Q,C,50,1,0,0,0,13,0,15,0,3,0.5,1,60.756112
2022-01-16 02:29:01,Puffed Wheat,Q,C,50,2,0,0,1,10,0,50,0,3,0.5,1,63.005645
2022-05-06 03:20:00,Quaker Oat Squares,Q,C,100,4,1,135,2,14,6,110,25,3,1,0.5,49.511874
2022-05-22 02:12:35,Quaker Oatmeal,Q,H,100,5,2,0,2.7,-1,-1,110,0,1,1,0.67,50.828392
2021-08-25 01:15:05,Raisin Bran,K,C,120,3,1,210,5,14,12,240,25,2,1.33,0.75,39.259197
2021-10-30 03:30:14,Raisin Nut Bran,G,C,100,3,2,140,2.5,10.5,8,140,25,3,1,0.5,39.7034
2021-10-10 05:42:28,Raisin Squares,K,C,90,2,0,0,2,15,6,110,25,3,1,0.5,55.333142
2021-09-19 05:44:44,Rice Chex,R,C,110,1,0,240,0,23,2,30,25,1,1,1.13,41.998933
2022-03-18 02:09:46,Rice Krispies,K,C,110,2,0,290,0,22,3,35,25,1,1,1,40.560159
2021-11-08 00:09:28,Shredded Wheat,N,C,80,2,0,0,3,16,0,95,0,1,0.83,1,68.235885
2021-06-28 07:55:39,Shredded Wheat 'n'Bran,N,C,90,3,0,0,4,19,0,140,0,1,1,0.67,74.472949
2021-12-20 02:17:39,Shredded Wheat spoon size,N,C,90,3,0,0,3,20,0,120,0,1,1,0.67,72.801787
2022-01-08 02:45:39,Smacks,K,C,110,2,1,70,1,9,15,40,25,2,1,0.75,31.230054
2021-10-08 06:33:05,Special K,K,C,110,6,0,230,1,16,3,55,25,1,1,1,53.131324
2022-04-28 07:35:31,Strawberry Fruit Wheats,N,C,90,2,0,15,3,15,5,90,25,2,1,1,59.363993
2021-07-17 05:05:59,Total Corn Flakes,G,C,110,2,1,200,0,21,3,35,100,3,1,1,38.839746
2022-03-24 05:55:26,Total Raisin Bran,G,C,140,3,1,190,4,15,14,230,100,3,1.5,1,28.592785
2021-06-16 07:04:52,Total Whole Grain,G,C,100,3,1,200,3,16,3,110,100,3,1,1,46.658844
2021-06-06 06:06:40,Triples,G,C,110,2,1,250,0,21,3,60,25,3,1,0.75,39.106174
2021-10-21 04:47:26,Trix,G,C,110,1,1,140,0,13,12,25,25,2,1,1,27.753301
2021-08-07 04:23:07,Wheat Chex,R,C,100,3,1,230,3,17,3,115,25,1,1,0.67,49.787445
2021-06-09 05:14:40,Wheaties,G,C,100,3,1,200,3,17,3,110,25,1,1,1,51.592193
2022-01-02 04:05:27,Wheaties Honey Gold,G,C,110,2,1,200,1,16,8,60,25,1,1,0.75,36.187559
