STATE,1950,1960,1970,1980,1990,1995,2000,DIF,REGION
Aguascalientes,188075,243363,338142,519439,719659,862720,944285,756210,C
Baja California,226965,520165,870421,1177886,1660855,2112140,2487367,2260402,NW
Baja California Sur,60864,81594,128019,215139,317764,375494,424041,363177,NW
Campeche,122098,168219,251556,420553,535185,642516,690689,568591,SE
Coahuila,720619,907734,1114956,1557265,1972340,2173775,2298070,1577451,N
Colima,112321,164450,241153,346293,428510,488028,542627,430306,W
Chiapas,907026,1210870,1569053,2084717,3210496,3584786,3920892,3013866,SE
Chihuahua,846414,1226793,1612525,2005477,2441873,2793537,3052907,2206493,N
Distrito Federal,3050442,4870876,6874165,8831079,8235744,8489007,8605239,5554797,C
Durango,629874,760836,939208,1182320,1349378,1431748,1448661,818787,NW
Guanajuato,1328712,1735490,2270370,3006110,3982593,4406568,4663032,3334320,C
Guerrero,919386,1186716,1597360,2109513,2620637,2916567,3079649,2160263,SE
Hidalgo,850394,994598,1193845,1547493,1888366,2112473,2235591,1385197,C
Jalisco,1746777,2443261,3296586,4371998,5302689,5991176,6322002,4575225,W
México,1392623,1897851,3833185,7564335,9815795,11707964,13096686,11704063,C
Michoacán,1422717,1851876,2324226,2868824,3548199,3870604,3985667,2562950,C
Morelos,272842,386264,616119,947089,1195059,1442662,1555296,1282454,C
Nayarit,290124,389929,544031,726120,824643,896702,920185,630061,W
Nuevo León,740191,1078848,1694689,2513044,3098736,3550114,3834141,3093950,NE
Oaxaca,1421313,1727266,2015424,2369076,3019560,3228895,3438765,2017452,SE
Puebla,1625830,1973837,2508226,3347685,4126101,4624365,5076686,3450856,CS
Querétaro,286238,355045,485523,739605,1051235,1250476,1404306,1118068,C
Quintana Roo,26967,50169,88150,225985,493277,703536,874963,847996,SE
San Luis Potosí,856066,1048297,1281996,1673893,2003187,2200763,2299360,1443294,C
Sinaloa,635681,838404,1266528,1849879,2204054,2425675,2536844,1901163,NW
Sonora,510607,783378,1098720,1513731,1823606,2085536,2216969,1706362,NW
Tabasco,362716,496340,768327,1062961,1501744,1748769,1891829,1529113,SE
Tamaulipas,718167,1024182,1456858,1924484,2249581,2527328,2753222,2035055,NE
Tlaxcala,284551,346699,420638,556597,761277,883924,962646,678095,CS
Veracruz,2040231,2727899,3815422,5387680,6228239,6737324,6908975,4868744,E
Yucatán,516899,614049,758355,1063733,1362940,1556622,1658210,1141311,SE
Zacatecas,665524,817831,951462,1136830,1276322,13336496,1353610,688086,C
