Date,Internal,Press,Guests,Emails sent Financial Info,Company A,Company B,Time of sending Financial Info
2003-06-24,102,43,1,93,59,89,16:30:00
2003-06-25,97,50,8,111,26,59,16:50:00
2003-06-26,5,7,7,115,28,65,
2003-06-27,7,1,3,116,95,24,
2003-06-28,126,36,2,185,65,85,17:00:00
2003-06-29,132,13,2,207,23,96,16:15:00
2003-06-30,94,47,2,263,95,25,16:10:00
2003-07-01,95,101,5,299,74,147,19:10:00
2003-07-02,109,73,1,334,85,85,16:10:00
2003-07-03,5,2,1,338,16,96,
2003-07-04,3,1,2,344,48,35,
2003-07-05,90,121,18,368,95,21,15:37:00
2003-07-06,86,8,5,388,25,59,16:13:00
2003-07-07,98,58,3,473,85,5,15:54:00
2003-07-08,77,77,8,480,6,85,15:50:00
2003-07-09,1,96,2,488,5,47,15:34:00
2003-07-10,45,60,2,500,35,25,15:21:00
2003-07-11,33,54,3,502,18,36,15:17:00
2003-07-12,98,52,6,503,49,58,15:00:00
2003-07-13,20,40,5,521,67,15,14:50:00
2003-07-14,11,30,1,522,18,47,14:32:00
