State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Aguascalientes,4.8,7.1,8.7,9.4,12.6,15.7,14.2,13.4,12.2,11.3,8.9,5
Baja California,8,6.5,9,13.2,14.3,17.6,18.5,20.9,18.8,13.6,11.4,8.2
BajaCalifornia Sur,12.1,12.1,13,15.3,15.9,19.9,23.9,24.6,23.2,19.4,17.3,12.6
Campeche,17.2,20,20.2,21.8,24.5,24,23,23.3,23.2,23.2,20.9,18.5
Coahuila,6.4,9.6,12.1,14.5,19.8,21.5,21.7,23.4,21.2,15.5,10.5,6.4
Colima,18.6,18,18.3,17.5,19.7,23.5,23.2,23.7,23.3,22.8,22.5,20.3
Chiapas,16.4,17.4,18.2,19,21.1,21,20.4,20.6,20.6,20.6,19,16.8
Chihuahua,1.8,4.1,6.9,8.7,12,16.7,18.3,18.4,16,11,7.6,1.9
Ciudadde México,8.1,10.6,11.4,12.9,14,14.2,13,13.6,13.8,13.6,11.5,8.3
Durango,2.6,5.4,7.1,8.3,10.1,15.5,15.3,16,14.3,11.5,7.9,2.8
Guanajuato,6.4,8,10.3,10.9,13.9,15,13.6,13.9,13.3,13,10.9,6.6
Guerrero,15.9,16.7,18.2,18.1,19.2,20,19.2,20.2,19.8,19.7,19.1,17.1
Hidalgo,7.5,10.2,10.8,12.3,15.2,15.4,14.6,14.1,13.9,13.7,11.8,7.4
Jalisco,7.9,9.5,10.9,11.2,14.2,17.6,16.5,16.9,16.6,15.8,14.1,10.1
Estado de México,3,4.7,6.2,7.1,9,10.6,9.6,9.5,9.2,9.2,7.5,4.2
Michoacán,8.1,9.8,11.3,11.3,14,15.7,14.7,14.5,14.3,14.2,13,9.5
Morelos,10.1,12.6,15.4,15.3,16.8,17.3,16.1,15.9,16,15.9,14.5,11.3
Nayarit,14.6,15.2,14.4,15.8,17.8,22.8,23.2,23.5,23.2,23,20.7,16.4
NuevoLeón,6.9,10.3,12.7,14,19.8,21.2,20.5,21.9,20.3,16.5,11.1,8.4
Oaxaca,13.9,16.8,16.5,17.4,18.9,19.6,17.8,18.9,18.5,17.9,16.4,14
Puebla,6.9,9.5,10.4,11.5,13.6,13.7,12.4,12.7,12.6,12.3,10.5,7.7
Querétaro,8.5,10.3,12,13.6,16.8,16.5,14.9,16,14.9,14.2,12.2,7.8
QuintanaRoo,18.3,21.5,21.2,22.7,25.3,25.8,25.4,25.3,24.3,24.3,21.4,19.4
San Luis Potosí,11.9,14.2,15.3,16.5,22.1,21.9,20.7,21.4,20.2,18.6,15.3,12.4
Sinaloa,11.6,12,12.8,14.6,16.7,22.3,24.4,24.3,23.4,21.8,18.5,13.2
Sonora,6,6.2,9.2,11.5,12.9,19.1,23.3,23.8,21.2,15.3,13,7.2
Tabasco,18.8,20.7,20.8,22.1,25.1,24.6,23.6,24.3,23.9,23.6,21.5,19.8
Tamaulipas,11.3,14.4,16.3,17.7,23.7,24.5,23.8,25,23.4,19.8,14.5,12.7
Tlaxcala,2.2,4.8,6.3,7.7,9.7,11.2,9.5,9.2,9.3,9,6.6,2.9
Veracruz,13.6,15.9,16.1,16.9,20.7,20.7,19.4,19.7,19.4,18.7,15.6,13.7
Yucatán,16.1,18.8,19,20.7,23.4,23.9,22.6,22.9,23,22.7,19.7,17.3
Zacatecas,3.9,6.2,7.7,8,10.9,14.7,13.7,14.1,12.9,11.4,8.7,3.8
