Income Statement
Year,2016,2017,2018,2019,2020
Net revenue,53924729,61381129,70264025,68766003,28522135
Cost of Sales,46923442,55129959,64980043,62161452,56359392
Gross Profit,7001287,6251170,5283982,6604551,-27837257
Selling expenses,1960468,2283144,2552257,2303300,1561474
Administrative expenses,1964171,2319311,2378794,2437203,2229826
Other operating income,581157,1751001,138165,1123530,465611
Other expenses,88816,275891,482530,213175,4037123
Operating profit,3568989,3123825,8566,2774403,-35200069
Interest income,271326,483985,508733,217190,147660
Interest expenses,2356850,3744952,3647995,6314320,7930678
Earnings before taxes,1483465,-137142,-3130696,-3322727,-42983087
Income taxes,371684,-67993,-1252149,-953797,-454000
Net profit,1111781,-69149,-1878547,-2368930,-42529087
