Code,Location,Product,Season,Sales
10,Center,Meat,Autum,170500
10,Center,Meat,Spring,162580
10,Center,Meat,Summer,169930
10,Center,Fruit,Autum,239610
10,Center,Fruit,Spring,205129
10,Center,Fruit,Summer,201696
10,Center,"Dairy, eggs and honey",Autum,63000
10,Center,"Dairy, eggs and honey",Spring,65000
10,Center,"Dairy, eggs and honey",Summer,50000
10,Center,Pastries,Autum,126750
10,Center,Pastries,Spring,150059
10,Center,Pastries,Summer,150527
10,Center,Vegetables,Autum,350550
10,Center,Vegetables,Spring,305714
10,Center,Vegetables,Summer,408605
20,Hill Park,Meat,Autum,18300
20,Hill Park,Meat,Spring,16200
20,Hill Park,Meat,Summer,17500
20,Hill Park,Fruit,Autum,57200
20,Hill Park,Fruit,Spring,57800
20,Hill Park,Fruit,Summer,59200
20,Hill Park,Pastries,Autum,14430
20,Hill Park,Pastries,Spring,14800
20,Hill Park,Pastries,Summer,19200
20,Hill Park,Vegetables,Autum,63700
20,Hill Park,Vegetables,Spring,32500
20,Hill Park,Vegetables,Summer,72900
30,North Park,Meat,Autum,38492
30,North Park,Meat,Spring,47951
30,North Park,Meat,Summer,46827
30,North Park,Fruit,Autum,80280
30,North Park,Fruit,Spring,80265
30,North Park,Fruit,Summer,96194
30,North Park,"Dairy, eggs and honey",Autum,10450
30,North Park,"Dairy, eggs and honey",Spring,9415
30,North Park,"Dairy, eggs and honey",Summer,10024
30,North Park,Pastries,Autum,55400
30,North Park,Pastries,Spring,66384
30,North Park,Pastries,Summer,79656
30,North Park,Vegetables,Autum,161940
30,North Park,Vegetables,Spring,170320
30,North Park,Vegetables,Summer,350991
40,Edge Park,Meat,Autum,71190
40,Edge Park,Meat,Spring,60123
40,Edge Park,Meat,Summer,80230
40,Edge Park,"Dairy, eggs and honey",Autum,29070
40,Edge Park,"Dairy, eggs and honey",Spring,28100
40,Edge Park,"Dairy, eggs and honey",Summer,39055
40,Edge Park,Pastries,Autum,29280
40,Edge Park,Pastries,Spring,27200
40,Edge Park,Pastries,Summer,37520
40,Edge Park,Vegetables,Autum,114860
40,Edge Park,Vegetables,Spring,132050
40,Edge Park,Vegetables,Summer,141930
50,Valley Park,Meat,Autum,15153
50,Valley Park,Meat,Spring,26551
50,Valley Park,Meat,Summer,40065
50,Valley Park,Fruit,Autum,75752
50,Valley Park,Fruit,Spring,75491
50,Valley Park,Fruit,Summer,117829
50,Valley Park,"Dairy, eggs and honey",Autum,4356
50,Valley Park,"Dairy, eggs and honey",Spring,4310
50,Valley Park,"Dairy, eggs and honey",Summer,5203
50,Valley Park,Pastries,Autum,62615
50,Valley Park,Pastries,Spring,44188
50,Valley Park,Pastries,Summer,77383
50,Valley Park,Vegetables,Autum,79877
50,Valley Park,Vegetables,Spring,71072
50,Valley Park,Vegetables,Summer,80273
60,West lake,Meat,Autum,40458
60,West lake,Meat,Spring,39516
60,West lake,Meat,Summer,53804
60,West lake,Fruit,Autum,110485
60,West lake,Fruit,Spring,110511
60,West lake,Fruit,Summer,119349
60,West lake,"Dairy, eggs and honey",Autum,52732
60,West lake,"Dairy, eggs and honey",Spring,40272
60,West lake,"Dairy, eggs and honey",Summer,49312
60,West lake,Pastries,Autum,197112
60,West lake,Pastries,Spring,177196
60,West lake,Pastries,Summer,220909
60,West lake,Vegetables,Autum,114058
60,West lake,Vegetables,Spring,85024
60,West lake,Vegetables,Summer,116343
