Order Num,Order Date,Order Month,Product,Origin,Destination,Status,Destination,Status,Color
2021-1,,,Falda,PLANTA NORTE,NUEVO LEON,,NUEVO LEON,Sent,Yellow
2021-10,,,Chamarra,PLANTA CENTRO,GUANAJUATO,,GUANAJUATO,In progress,Blue
2021-11,,,Falda,PLANTA PONIENTE,GUANAJUATO,,VERACRUZ,Delivered,Green
2021-12,,,Chamarra,PLANTA ORIENTE,NUEVO LEON,,SINALOA,Payment pending,Red
2021-13,,,Traje de Baño,PLANTA PONIENTE,SINALOA,,DURANGO,Payment pending,REd
2021-14,,,Blusa,PLANTA SUR,GUANAJUATO,,,,
2021-15,,,Blusa,PLANTA CENTRO,VERACRUZ,,,,
2021-16,,,Chamarra,PLANTA NORTE,NUEVO LEON,,,,
2021-17,,,Traje de Baño,PLANTA PONIENTE,NUEVO LEON,,,,
2021-18,,,Chamarra,PLANTA SUR,NUEVO LEON,,,,
2021-19,,,Falda,PLANTA CENTRO,GUANAJUATO,,,,
2021-2,,,Traje de Baño,PLANTA CENTRO,GUANAJUATO,,,,
2021-20,,,Chamarra,PLANTA NORTE,DURANGO,,,,
2021-21,,,Traje de Baño,PLANTA ORIENTE,VERACRUZ,,,,
2021-22,,,Falda,PLANTA PONIENTE,NUEVO LEON,,,,
2021-23,,,Chamarra,PLANTA CENTRO,NUEVO LEON,,,,
2021-24,,,Traje de Baño,PLANTA SUR,GUANAJUATO,,,,
2021-25,,,Falda,PLANTA NORTE,GUANAJUATO,,,,
2021-26,,,Blusa,PLANTA CENTRO,VERACRUZ,,,,
2021-27,,,Falda,PLANTA NORTE C,SINALOA,,,,
2021-28,,,Blusa,PLANTA PONIENTE,GUANAJUATO,,,,
2021-29,,,Chamarra,DORADO,NUEVO LEON,,,,
