,Active,Inactive,Total,,,,
Internal,473,188,661,,,,
Guests,84,176,260,,,,
Company A,291,7709,8000,,,,
Company B,949,40928,41877,,,,
Games service,1264,0,1264,,,,
,Access from…,,,,,,
Date,Internal,Press,Guests,Emails sent Financial Info,Company A,Company B,Time of sending Financial Info
2003-06-24 00:00:00,102,43,1,93,59,89,16:30:00
2003-06-25 00:00:00,97,50,8,111,26,59,16:50:00
2003-06-26 00:00:00,5,7,7,115,28,65,
2003-06-27 00:00:00,7,1,3,116,95,24,
2003-06-28 00:00:00,126,36,2,185,65,85,17:00:00
2003-06-29 00:00:00,132,13,2,207,23,96,16:15:00
2003-06-30 00:00:00,94,47,2,263,95,25,16:10:00
2003-07-01 00:00:00,95,101,5,299,74,147,19:10:00
2003-07-02 00:00:00,109,73,1,334,85,85,16:10:00
2003-07-03 00:00:00,5,2,1,338,16,96,
2003-07-04 00:00:00,3,1,2,344,48,35,
2003-07-05 00:00:00,90,121,18,368,95,21,15:37:00
2003-07-06 00:00:00,86,8,5,388,25,59,16:13:00
2003-07-07 00:00:00,98,58,3,473,85,5,15:54:00
2003-07-08 00:00:00,77,77,8,480,6,85,15:50:00
2003-07-09 00:00:00,1,96,2,488,5,47,15:34:00
2003-07-10 00:00:00,45,60,2,500,35,25,15:21:00
2003-07-11 00:00:00,33,54,3,502,18,36,15:17:00
2003-07-12 00:00:00,98,52,6,503,49,58,15:00:00
2003-07-13 00:00:00,20,40,5,521,67,15,14:50:00
2003-07-14 00:00:00,11,30,1,522,18,47,14:32:00
