,¡¡ Find your stress level !!,,,
How often do you face the following situations: ,,,,
,,,Never,1
,Please use this scale,,Very rarely,2
,,,Rarely,3
,,,Sometimes,4
Complete the questionnaire to get your total result,,,Often,5
using the scale,,,Usually,6
,,,Always,7
1,Being tired,,,
2,Feeling depressed,,,
3,Having a good day,,,
4,Being physically exhausted,,,
5,Being emotionally exhausted,,,
6,Being happy,,,
7,Being destroyed,,,
8,Can't take any more,,,
9,Feel unhappy,,,
10,Feel exhausted,,,
11,Feeling cornered,,,
12,Feeling powerless,,,
13,Being discouraged,,,
14,Being worried,,,
15,Feeling disappointed and resentful,,,
16,Being skinny and disease prone,,,
17,Feeling hopeless,,,
18,Feeling rejected,,,
19,Feeling optimistic,,,
20,Feeling energetic,,,
21,Feeling anxious,,,
More about your wear result,,====>,,
"If your result falls between 2 and 3, you are good. The only suggestion we make is that you check your answers to be sure that you were sincere when answering.",,,,
"If your result is located between 3 and 4, it would be good for you to review your work activity, set new priorities and think about making some changes",,,,
"If your result is above 4, you are experiencing such wear and tear that you must necessarily do something about it.",,,,
A result of 5 indicates a serious condition and a need for immediate help.,,,,
