Order No.,Date,Media,Vendor,Platform,Comission,Order type,Client type,Gender,Category,Product,Price
1,2017-08-06 00:00:00,Own,In store,Website,0,Purchase,Recurrent,Men,Pants,Pants de Entrenamiento Reactivo,40
1,2017-08-06 00:00:00,Own,In store,Website,0,Purchase,Recurrent,Men,Sweaters and jackets,Sudadera sin Costuras,50
1,2017-08-06 00:00:00,Own,In store,Website,0,Purchase,Recurrent,Womenes,Leggings,Leggings Ombre,36
1,2017-08-06 00:00:00,Own,In store,Website,0,Purchase,Recurrent,Womenes,Sportswear,Bra Vital sin costuras,40
1,2017-08-06 00:00:00,Own,In store,Website,0,Purchase,Recurrent,Men,Tshirts,Camiseta Heather,50
1,2017-08-06 00:00:00,Own,In store,Website,0,Purchase,Recurrent,Men,Tshirts,Camiseta Respiro,45
1,2017-08-06 00:00:00,Own,In store,Website,0,Purchase,Recurrent,Men,Pants,Pants Fallout,40
1,2017-08-06 00:00:00,Own,In store,Website,0,Purchase,Recurrent,Womenes,Sweaters and jackets,Sudadera Slouch,42
1,2017-08-06 00:00:00,Own,In store,Website,0,Purchase,Recurrent,Men,Tshirts,Camiseta City,45
1,2017-08-06 00:00:00,Own,In store,Website,0,Purchase,Recurrent,Men,Underware,Leggings largo completo,35
1,2017-08-06 00:00:00,Own,In store,Website,0,Purchase,Recurrent,Womenes,Sportswear,Bra Vital sin costuras,40
1,2017-08-06 00:00:00,Own,In store,Website,0,Purchase,Recurrent,Womenes,Underware,Tanga sin costuras,15
1,2017-08-06 00:00:00,Own,In store,Website,0,Purchase,Recurrent,Men,Pants,Pants Onyx,48
1,2017-08-06 00:00:00,Own,In store,Website,0,Purchase,Recurrent,Men,Pants,Pants Enlighten,40
2,2017-10-26 00:00:00,Own,Facebook advertising,Facebook,0,Purchase,Recurrent,Men,Pants,Pants Rojos,48
2,2017-10-26 00:00:00,Own,Facebook advertising,Facebook,0,Purchase,Recurrent,Womenes,Sportswear,Bra Ombre,36
2,2017-10-26 00:00:00,Own,Facebook advertising,Facebook,0,Purchase,Recurrent,Men,Underware,Camisa interior con hoodie,50
2,2017-10-26 00:00:00,Own,Facebook advertising,Facebook,0,Purchase,Recurrent,Men,Sweaters and jackets,Parka impermeable,60
