CRITERIO1,CRITERIO 2,CRITERIO 3,CRITERIO 4,Y (TODO),O (TODO),NO(TODO),"Y 1, 2, 3","O 1, 2, 3, ","y 2,4","O 2,4"
True,True,True,True,,,,,,,
True,True,True,False,,,,,,,
True,True,False,True,,,,,,,
True,True,False,False,,,,,,,
True,False,True,True,,,,,,,
True,False,True,False,,,,,,,
True,False,False,True,,,,,,,
True,False,False,False,,,,,,,
False,True,True,True,,,,,,,
False,True,True,False,,,,,,,
False,True,False,True,,,,,,,
False,True,False,False,,,,,,,
False,False,True,True,,,,,,,
False,False,True,False,,,,,,,
False,False,False,True,,,,,,,
False,False,False,False,,,,,,,
