LISTADO,CALCULAR CUÁNTAS
Tlalpan,"Empieza con ""Tlal"""
Tlaltenango,"Empieza con ""Tla"""
Tulancingo,"Termina con ""co"""
Zacazonapan,"La segunda letra es ""a"""
Xochimilco,"La penúltima letra es ""a"""
Coacalco,"Termina con ""pan"""
Tlahuac,"Tiene ""x"" dentro del nombre (cualquier lugar)"
Chiconcuac,"Tiene ""z"" dentro del nombre (cualquier lugar)"
Azcapozalco,"La tercera letra es ""a"""
Iztacalco,
Cuautitlán,
Iztapalapa,
Ixtapa,
Xola,
México,
Atocpan,
Tequisquiapan,
Mixcoac,
Tultitlán,
Tepoztán,
Ocotepec,
Zacatepec,
Cuicuilco,
