Inventory 1,,,,,,,,Inventory 2,,,,,,,,Inventory 3,,,,,,,,,,,,,,
Item,Description,Unit,Cost,,,,,Description,Item,Unit,Cost,,,,,Item,450701238,450818976,450818977,450800832,450801110,450800175,424582395,424570573,450812520,424504541,424572731,424560033,424562533,450802490
450701238,GANCHO ESTIRA TEJ GALV 3/8  x  8,PZ,0.01,Item,Description,Unit,Cost,GANCHO ESTIRA TEJ GALV 3/8  x  8,450701238,PZ,0.01,Item,Description,Unit,Cost,Description,GANCHO ESTIRA TEJ GALV 3/8  x  8,SELLADOR S-28 SILIC NEGRO   50 GR,MECHA EZETA COLA CONICA 18.25 MM,MARTILLO 2235 CHAPISTA DIAM 35,PALANQ  LAMINADA 1010  50.80 MM,MENSULA DOBLE BLANCA 170 MM,MECHA EZETA CILIND TITANIO 10.50 MM,CADENA ENGANCHE N. 6 HO BRONCEADO,PALANQ  LAMINADA 1045  63.50 MM,MACHO URANGA A/ALEADO M 22 x 1.50,MECHA NEIKE WIDIA LARGA 400 14 MM,CLAVO CAJ PULIDO FRACC  15- 50,MENSULA DOBLE ALUM   270 MM,ABRAZ AMERICANA 3011/5 120 - 135 MM
450818976,SELLADOR S-28 SILIC NEGRO   50 GR,PZ,0.01,450814378,,,,SELLADOR S-28 SILIC NEGRO   50 GR,450818976,PZ,0.01,450814378,,,,Unit,PZ,PZ,PZ,PZ,PZ,PZ,PZ,CJ,PZ,PZ,PZ,PZ,PZ,PZ
450818977,MECHA EZETA COLA CONICA 18.25 MM,PZ,0.01,451305291,,,,MECHA EZETA COLA CONICA 18.25 MM,450818977,PZ,0.01,451305291,,,,Cost,0.01,0.01,0.01,0.1,0.21,0.23,0.25,0.38,0.4,0.44,0.48,0.51,0.52,0.62
450800832,MARTILLO 2235 CHAPISTA DIAM 35,PZ,0.1,450409164,,,,MARTILLO 2235 CHAPISTA DIAM 35,450800832,PZ,0.1,450409164,,,,,,,,,,,,,,,,,,
450801110,PALANQ  LAMINADA 1010  50.80 MM,PZ,0.21,485501480,,,,PALANQ  LAMINADA 1010  50.80 MM,450801110,PZ,0.21,485501480,,,,,,,,,,,,,,,,,,
450800175,MENSULA DOBLE BLANCA 170 MM,PZ,0.23,,,,,MENSULA DOBLE BLANCA 170 MM,450800175,PZ,0.23,,,,,,,,,,,,,,,,,,,
424582395,MECHA EZETA CILIND TITANIO 10.50 MM,PZ,0.25,,,,,MECHA EZETA CILIND TITANIO 10.50 MM,424582395,PZ,0.25,,,,,,,Item,Description,Unit,Cost,,,,,,,,,
424570573,CADENA ENGANCHE N. 6 HO BRONCEADO,CJ,0.38,,,,,CADENA ENGANCHE N. 6 HO BRONCEADO,424570573,CJ,0.38,,,,,,,450818976,,,,,,,,,,,,
450812520,PALANQ  LAMINADA 1045  63.50 MM,PZ,0.4,,,,,PALANQ  LAMINADA 1045  63.50 MM,450812520,PZ,0.4,,,,,,,424582395,,,,,,,,,,,,
424504541,MACHO URANGA A/ALEADO M 22 x 1.50,PZ,0.44,,,,,MACHO URANGA A/ALEADO M 22 x 1.50,424504541,PZ,0.44,,,,,,,450802490,,,,,,,,,,,,
424572731,MECHA NEIKE WIDIA LARGA 400 14 MM,PZ,0.48,,,,,MECHA NEIKE WIDIA LARGA 400 14 MM,424572731,PZ,0.48,,,,,,,450812524,,,,,,,,,,,,
424560033,CLAVO CAJ PULIDO FRACC  15- 50,PZ,0.51,,,,,CLAVO CAJ PULIDO FRACC  15- 50,424560033,PZ,0.51,,,,,,,,,,,,,,,,,,,
424562533,MENSULA DOBLE ALUM   270 MM,PZ,0.52,,,,,MENSULA DOBLE ALUM   270 MM,424562533,PZ,0.52,,,,,,,,,,,,,,,,,,,
450802490,ABRAZ AMERICANA 3011/5 120 - 135 MM,PZ,0.62,,,,,ABRAZ AMERICANA 3011/5 120 - 135 MM,450802490,PZ,0.62,,,,,,,,,,,,,,,,,,,
450805692,CADENA MAGER TORCIDO CORTO N. 35,PZ,0.72,,,,,CADENA MAGER TORCIDO CORTO N. 35,450805692,PZ,0.72,,,,,,,,,,,,,,,,,,,
450305078,ARAND NEOPREN CHICA  16 MM,PZ,0.736,,,,,ARAND NEOPREN CHICA  16 MM,450305078,PZ,0.736,,,,,,,,,,,,,,,,,,,
450812675,POLIET ECO 3 x 200 x  50 NEGRO,PZ,0.77,,,,,POLIET ECO 3 x 200 x  50 NEGRO,450812675,PZ,0.77,,,,,,,,,,,,,,,,,,,
450801118,GUARDACABO GALV   7/8,PZ,1.04,,,,,GUARDACABO GALV   7/8,450801118,PZ,1.04,,,,,,,,,,,,,,,,,,,
