Sale Date,Product,Brand,Category,Branch,Vendor,Payment,Unit cost,Unit selling price,Quantity
43101,REPRODUCTOR DE DVD,WHIRLPOOL,TV/Video/DVD,Abasto,Mnatalini,Cash,1720,2869,10
43101,FREEZER,DAIHATSU,Línea Blanca,Roma,Lzeppa,Credit Card,6370,9799,40
43102,RADIO  DRK-30,GAFA,Audio,Centro,Jlopez,Cash,220,399,10
43103,HELADERA,WHIRLPOOL,Línea Blanca,San Angel,Fcasco,Credit Card,6820,10489,30
43103,HELADERA,GAFA,Línea Blanca,Del Valle,Ggonzalez,Credit Card,6520,10029,45
43106,FREEZER,GAFA,Línea Blanca,Coyoacan,Abrieva,Credit Card,6370,9799,5
43107,HELADERA,WHIRLPOOL,Línea Blanca,Abasto,Mnatalini,Credit Card,6520,10029,10
43107,FREEZER,GAFA,Línea Blanca,Roma,Lzeppa,Credit Card,6370,9799,30
43108,HELADERA,WHIRLPOOL,Línea Blanca,Centro,Jlopez,Credit Card,6520,10029,25
43109,FREEZER,NOBLEX,Línea Blanca,Del Valle,Ggonzalez,Credit Card,6370,9799,36
43110,REPRODUCTOR DE DVD,AUDIOLOGIC,TV/Video/DVD,San Angel,Fcasco,Credit Card,2390,3979,7
43110,REPRODUCTOR DE DVD,WHIRLPOOL,TV/Video/DVD,Coyoacan,Abrieva,Credit Card,1870,3119,6
43113,FREEZER,WHIRLPOOL,Línea Blanca,Abasto,Mnatalini,Credit Card,6370,9799,24
43114,FREEZER,NOBLEX,Línea Blanca,Roma,Lzeppa,Credit Card,6370,9799,10
43114,REPRODUCTOR DE DVD,NOBLEX,TV/Video/DVD,Centro,Jlopez,Credit Card,2390,3979,40
43115,REPRODUCTOR DE DVD,WHIRLPOOL,TV/Video/DVD,Del Valle,Dacosta,Cash,2390,3979,35
43116,FREEZER,WHIRLPOOL,Línea Blanca,San Angel,Fcasco,Cash,6370,9799,10
43116,COCINA,DATSUN,Línea Blanca,Coyoacan,Abrieva,Cash,9370,13389,45
43117,REPRODUCTOR MP3,WHIRLPOOL,Audio,Abasto,Mnatalini,Cash,970,1759,30
43120,FREEZER,GAFA,Línea Blanca,Roma,Lzeppa,Cash,6370,9799,5
43121,HELADERA CON FREEZER,WHIRLPOOL,Línea Blanca,Centro,Jlopez,Cash,9520,13599,10
43121,HELADERA,WHIRLPOOL,Línea Blanca,Del Valle,Mnoguera,Cash,7720,11879,30
43122,COCINA,NOBLEX,Línea Blanca,San Angel,Fcasco,Cash,9370,13389,25
43123,HELADERA,PATRICK,Línea Blanca,Abasto,Mnatalini,Cash,7720,11879,7
43123,REPRODUCTOR MP3,WHIRLPOOL,Audio,Coyoacan,Abrieva,Cash,1040,1729,36
43124,COCINA,AUDIOLOGIC,Línea Blanca,Roma,Lzeppa,Cash,5240,8059,6
43127,REPRODUCTOR DE DVD,WHIRLPOOL,TV/Video/DVD,Centro,Jlopez,Cash,1870,3119,24
43127,COCINA,WHIRLPOOL,Línea Blanca,Del Valle,Ggonzalez,Cash,9370,13389,10
43128,HELADERA,DATSUN,Línea Blanca,San Angel,Fcasco,Cash,7720,11879,40
43129,REPRODUCTOR MP3,WHIRLPOOL,Audio,Coyoacan,Abrieva,Credit Card,970,1759,35
43130,COCINA,WHIRLPOOL,Línea Blanca,Abasto,Mnatalini,Cash,9370,13389,10
43130,HELADERA,DATSUN,Línea Blanca,Roma,Lzeppa,Credit Card,7720,11879,45
43131,REPRODUCTOR MP3,WHIRLPOOL,Audio,Centro,Jlopez,Cash,970,1759,30
43134,HELADERA,PATRICK,Línea Blanca,San Angel,Fcasco,Credit Card,7720,11879,10
43134,COCINA,WHIRLPOOL,Línea Blanca,Del Valle,Dacosta,Cash,9370,13389,5
43135,COCINA,PHILIPS,Línea Blanca,Coyoacan,Abrieva,Credit Card,5240,8059,30
43136,REPRODUCTOR DE DVD,PHILIPS,TV/Video/DVD,Abasto,Mnatalini,Credit Card,2470,4119,25
43136,DEPILADORA,PATRICK,Depiladoras,Roma,Lzeppa,Credit Card,1270,2119,36
43137,COCINA,PHILIPS,Línea Blanca,Centro,Jlopez,Credit Card,5240,8059,7
43138,DEPILADORA,PHILIPS,Depiladoras,Del Valle,Mnoguera,Credit Card,1270,2119,6
43141,DEPILADORA,DATSUN,Depiladoras,San Angel,Fcasco,Credit Card,1270,2119,24
43141,REPRODUCTOR DE DVD,PATRICK,TV/Video/DVD,Coyoacan,Abrieva,Credit Card,1720,2869,10
43142,COCINA,GAFA,Línea Blanca,Abasto,Mnatalini,Credit Card,5240,8059,40
43143,SECARROPAS,PATRICK,Línea Blanca,Roma,Lzeppa,Credit Card,8690,13369,35
43143,COCINA,GAFA,Línea Blanca,Centro,Jlopez,Credit Card,5240,8059,10
43144,SECARROPAS,GAFA,Línea Blanca,Del Valle,Ggonzalez,Credit Card,8690,13369,45
43145,HELADERA CON FREEZER,GAFA,Línea Blanca,San Angel,Fcasco,Credit Card,9520,13599,30
43145,HELADERA CON FREEZER,DATSUN,Línea Blanca,Coyoacan,Abrieva,Credit Card,9520,13599,5
43148,REPRODUCTOR DE DVD,GAFA,TV/Video/DVD,Abasto,Mnatalini,Credit Card,1720,2869,10
43149,SECARROPAS,GAFA,Línea Blanca,Roma,Lzeppa,Credit Card,8690,13369,30
43150,SECARROPAS,NOBLEX,Línea Blanca,Centro,Jlopez,Credit Card,8690,13369,25
43150,REPRODUCTOR MP3,GAFA,Audio,Del Valle,Ggonzalez,Credit Card,1040,1729,36
43151,SECARROPAS,GAFA,Línea Blanca,San Angel,Fcasco,Credit Card,8690,13369,7
43152,SECARROPAS,PATRICK,Línea Blanca,Abasto,Mnatalini,Credit Card,8690,13369,24
