Transaction report Jan-Mar 2019,,,,,
Month,Day,Deposit,Withdrawal,Branch,1. How many deposits were made during January?
Jan,1,5000,,Díaz Mirón,
Jan,5,,2000,Bolívar,2. How much was deposited in total during January?
Jan,7,,1500,Díaz Mirón,
Jan,15,4500,,Bolívar,"3. How much was withdrawn at the ""Díaz Mirón"" branch in February?"
Jan,17,,1200,Díaz Mirón,
Jan,20,,1500,Miguel Alemán,"4. How much was deposited at the ""Cuauhtémoc"" branch in March?"
Jan,25,,1000,Bolívar,
Jan,29,,500,Miguel Alemán,5. How much is the difference between total deposits and total withdrawals in: 
Jan,31,7000,,Díaz Mirón,January
Jan,31,,1000,Cuauhtémoc,February
Feb,3,,1000,Bolívar,March
Feb,6,,1200,Díaz Mirón,
Feb,10,,2500,Cuauhtémoc,6. How many withdrawals higher than 1000 were made between March 15 and 30?
Feb,15,5500,,Miguel Alemán,
Feb,20,,3000,Díaz Mirón,"7. How many withdrawals were made at the ""Miguel Alemán"" branch in February and March?"
Feb,25,2000,,Bolívar,
Feb,28,5000,,Miguel Alemán,
Mar,5,,1500,Cuauhtémoc,
Mar,8,,1000,Díaz Mirón,
Mar,14,,2000,Bolívar,
Mar,16,5300,,Cuauhtémoc,
Mar,18,,2000,Cuauhtémoc,
Mar,21,1500,,Bolívar,
Mar,21,,1000,Díaz Mirón,
Mar,23,,1500,Cuauhtémoc,
Mar,25,2500,,Díaz Mirón,
Mar,25,,1000,Miguel Alemán,
Mar,27,,1000,Bolívar,
Mar,29,,1500,Díaz Mirón,
Mar,31,6250,,Díaz Mirón,
