Enrollment date,Machine,Participant,Time of use (minutes)
2021-09-30 00:00:00,Machine 5,Participant 39,137
2021-11-26 00:00:00,Machine 3,Participant 34,121
2021-09-11 00:00:00,Machine 6,Participant 65,123
2021-11-29 00:00:00,Machine 8,Participant 36,111
2021-08-01 00:00:00,Machine 1,Participant 28,129
2021-08-01 00:00:00,Machine 10,Participant 34,128
2021-10-27 00:00:00,Machine 4,Participant 62,135
2021-09-07 00:00:00,Machine 8,Participant 5,142
2021-08-04 00:00:00,Machine 4,Participant 36,136
2021-11-21 00:00:00,Machine 2,Participant 17,158
2021-11-12 00:00:00,Machine 1,Participant 60,115
2021-08-16 00:00:00,Machine 1,Participant 50,171
2021-08-16 00:00:00,Machine 1,Participant 43,151
2021-08-01 00:00:00,Machine 5,Participant 1,148
2021-08-12 00:00:00,Machine 1,Participant 4,145
2021-11-29 00:00:00,Machine 2,Participant 57,133
2021-11-01 00:00:00,Machine 8,Participant 63,174
2021-10-09 00:00:00,Machine 4,Participant 53,139
2021-08-27 00:00:00,Machine 9,Participant 70,140
2021-09-14 00:00:00,Machine 10,Participant 63,137
2021-10-07 00:00:00,Machine 5,Participant 62,155
2021-11-12 00:00:00,Machine 7,Participant 27,152
2021-11-12 00:00:00,Machine 6,Participant 50,156
2021-08-01 00:00:00,Machine 9,Participant 31,110
2021-09-23 00:00:00,Machine 4,Participant 70,132
2021-09-06 00:00:00,Machine 8,Participant 1,137
2021-11-11 00:00:00,Machine 8,Participant 45,121
2021-11-09 00:00:00,Machine 3,Participant 6,149
2021-09-10 00:00:00,Machine 7,Participant 55,144
2021-08-06 00:00:00,Machine 6,Participant 32,157
2021-10-30 00:00:00,Machine 3,Participant 40,173
2021-11-13 00:00:00,Machine 6,Participant 16,130
2021-10-09 00:00:00,Machine 2,Participant 47,157
2021-08-24 00:00:00,Machine 4,Participant 36,116
2021-08-03 00:00:00,Machine 9,Participant 16,146
2021-10-06 00:00:00,Machine 2,Participant 16,135
2021-10-14 00:00:00,Machine 5,Participant 36,124
2021-08-22 00:00:00,Machine 9,Participant 48,160
2021-08-16 00:00:00,Machine 9,Participant 59,155
2021-08-22 00:00:00,Machine 8,Participant 20,140
2021-08-06 00:00:00,Machine 3,Participant 5,168
2021-09-04 00:00:00,Machine 1,Participant 19,153
2021-08-13 00:00:00,Machine 1,Participant 16,130
2021-08-17 00:00:00,Machine 6,Participant 39,143
2021-08-07 00:00:00,Machine 1,Participant 29,139
2021-08-24 00:00:00,Machine 4,Participant 6,127
2021-08-02 00:00:00,Machine 5,Participant 20,116
2021-08-23 00:00:00,Machine 6,Participant 61,168
2021-08-15 00:00:00,Machine 3,Participant 15,134
2021-09-11 00:00:00,Machine 3,Participant 47,129
2021-11-16 00:00:00,Machine 10,Participant 2,120
2021-09-14 00:00:00,Machine 5,Participant 37,158
2021-09-03 00:00:00,Machine 5,Participant 32,146
2021-10-26 00:00:00,Machine 6,Participant 30,170
2021-09-21 00:00:00,Machine 8,Participant 58,127
2021-08-30 00:00:00,Machine 5,Participant 3,136
2021-08-02 00:00:00,Machine 1,Participant 35,158
2021-09-14 00:00:00,Machine 7,Participant 1,152
2021-08-05 00:00:00,Machine 10,Participant 34,165
2021-11-22 00:00:00,Machine 9,Participant 53,132
2021-09-08 00:00:00,Machine 1,Participant 42,162
2021-10-23 00:00:00,Machine 4,Participant 3,140
2021-10-01 00:00:00,Machine 2,Participant 49,148
2021-08-06 00:00:00,Machine 8,Participant 53,119
2021-10-24 00:00:00,Machine 2,Participant 45,153
2021-11-09 00:00:00,Machine 5,Participant 34,149
2021-09-12 00:00:00,Machine 10,Participant 15,114
2021-11-17 00:00:00,Machine 8,Participant 13,125
2021-10-23 00:00:00,Machine 2,Participant 55,143
2021-09-10 00:00:00,Machine 5,Participant 63,149
2021-08-18 00:00:00,Machine 2,Participant 20,156
2021-10-12 00:00:00,Machine 4,Participant 55,134
2021-08-12 00:00:00,Machine 4,Participant 34,130
2021-10-21 00:00:00,Machine 10,Participant 35,146
2021-11-11 00:00:00,Machine 4,Participant 69,153
2021-08-24 00:00:00,Machine 2,Participant 60,167
2021-09-11 00:00:00,Machine 1,Participant 14,124
2021-11-11 00:00:00,Machine 7,Participant 15,127
2021-09-25 00:00:00,Machine 10,Participant 55,156
2021-08-15 00:00:00,Machine 1,Participant 66,166
2021-11-08 00:00:00,Machine 4,Participant 60,154
2021-09-28 00:00:00,Machine 10,Participant 65,159
2021-10-26 00:00:00,Machine 9,Participant 32,140
2021-08-11 00:00:00,Machine 6,Participant 30,133
2021-08-08 00:00:00,Machine 4,Participant 65,135
2021-09-08 00:00:00,Machine 5,Participant 20,152
2021-09-29 00:00:00,Machine 1,Participant 29,119
2021-09-12 00:00:00,Machine 4,Participant 4,136
2021-09-06 00:00:00,Machine 3,Participant 14,170
2021-10-29 00:00:00,Machine 10,Participant 5,150
2021-09-07 00:00:00,Machine 3,Participant 68,120
2021-08-27 00:00:00,Machine 6,Participant 56,139
2021-09-01 00:00:00,Machine 10,Participant 9,124
2021-10-24 00:00:00,Machine 9,Participant 11,153
2021-09-25 00:00:00,Machine 8,Participant 62,123
2021-09-10 00:00:00,Machine 7,Participant 35,167
2021-10-26 00:00:00,Machine 7,Participant 5,150
2021-11-12 00:00:00,Machine 10,Participant 41,160
2021-11-22 00:00:00,Machine 7,Participant 30,135
2021-09-07 00:00:00,Machine 4,Participant 49,170
2021-09-16 00:00:00,Machine 8,Participant 31,161
2021-09-13 00:00:00,Machine 4,Participant 57,125
2021-11-21 00:00:00,Machine 5,Participant 41,160
2021-09-23 00:00:00,Machine 1,Participant 31,152
2021-10-18 00:00:00,Machine 10,Participant 25,140
2021-08-06 00:00:00,Machine 1,Participant 2,120
2021-09-23 00:00:00,Machine 7,Participant 59,124
2021-11-12 00:00:00,Machine 6,Participant 40,150
2021-10-18 00:00:00,Machine 9,Participant 66,176
2021-09-22 00:00:00,Machine 8,Participant 25,174
2021-09-09 00:00:00,Machine 1,Participant 50,134
2021-10-29 00:00:00,Machine 10,Participant 52,152
2021-10-31 00:00:00,Machine 5,Participant 39,166
2021-10-13 00:00:00,Machine 1,Participant 38,155
2021-10-17 00:00:00,Machine 6,Participant 14,134
2021-09-02 00:00:00,Machine 4,Participant 31,169
2021-11-10 00:00:00,Machine 6,Participant 54,132
2021-08-09 00:00:00,Machine 10,Participant 29,123
2021-11-22 00:00:00,Machine 1,Participant 8,173
2021-10-22 00:00:00,Machine 1,Participant 51,158
2021-09-09 00:00:00,Machine 6,Participant 46,133
2021-11-30 00:00:00,Machine 9,Participant 31,148
2021-09-03 00:00:00,Machine 5,Participant 53,118
2021-11-15 00:00:00,Machine 3,Participant 66,154
2021-08-01 00:00:00,Machine 2,Participant 31,120
2021-11-17 00:00:00,Machine 9,Participant 49,122
2021-10-06 00:00:00,Machine 7,Participant 45,157
2021-11-14 00:00:00,Machine 4,Participant 10,155
2021-09-01 00:00:00,Machine 5,Participant 40,134
2021-10-09 00:00:00,Machine 9,Participant 13,150
2021-08-24 00:00:00,Machine 6,Participant 40,149
2021-11-17 00:00:00,Machine 8,Participant 29,144
2021-09-17 00:00:00,Machine 8,Participant 7,152
2021-11-26 00:00:00,Machine 10,Participant 67,137
2021-08-22 00:00:00,Machine 4,Participant 3,146
2021-08-13 00:00:00,Machine 2,Participant 65,146
2021-09-24 00:00:00,Machine 7,Participant 62,136
2021-09-08 00:00:00,Machine 2,Participant 63,123
2021-10-25 00:00:00,Machine 9,Participant 3,150
2021-10-30 00:00:00,Machine 8,Participant 54,145
2021-09-22 00:00:00,Machine 4,Participant 63,151
2021-10-02 00:00:00,Machine 1,Participant 26,136
2021-10-19 00:00:00,Machine 6,Participant 63,122
2021-08-22 00:00:00,Machine 5,Participant 62,135
2021-10-31 00:00:00,Machine 9,Participant 30,126
2021-09-12 00:00:00,Machine 3,Participant 51,129
2021-11-08 00:00:00,Machine 6,Participant 18,115
2021-11-02 00:00:00,Machine 2,Participant 16,147
2021-10-03 00:00:00,Machine 3,Participant 54,131
2021-11-17 00:00:00,Machine 8,Participant 26,144
2021-08-26 00:00:00,Machine 9,Participant 2,173
2021-11-23 00:00:00,Machine 7,Participant 4,178
2021-11-18 00:00:00,Machine 9,Participant 37,125
2021-09-18 00:00:00,Machine 3,Participant 17,164
2021-09-23 00:00:00,Machine 7,Participant 64,164
2021-08-21 00:00:00,Machine 10,Participant 66,163
2021-10-04 00:00:00,Machine 9,Participant 5,132
2021-08-25 00:00:00,Machine 8,Participant 42,128
2021-08-10 00:00:00,Machine 6,Participant 46,113
2021-10-12 00:00:00,Machine 3,Participant 22,151
2021-08-10 00:00:00,Machine 4,Participant 42,136
2021-09-25 00:00:00,Machine 7,Participant 55,160
2021-08-01 00:00:00,Machine 3,Participant 24,136
2021-10-04 00:00:00,Machine 8,Participant 28,168
2021-08-29 00:00:00,Machine 7,Participant 56,129
2021-09-29 00:00:00,Machine 7,Participant 26,159
2021-09-03 00:00:00,Machine 4,Participant 28,142
2021-10-11 00:00:00,Machine 7,Participant 34,168
2021-08-29 00:00:00,Machine 9,Participant 33,171
