Machine,Equipment Description,Price,Total time used
Machine 1,Nordick Track Comercial 9.9 Eliptica,29995,22748
Machine 10,Multigimnasio sportline,9999,22881
Machine 2,Nordick Track Caminadora Comercial 1750,42995,23193
Machine 3,Nordick Track RW700 Remadora,29995,24996
Machine 4,Escalera sin fin unifitness,50736,25581
Machine 5,Nordick Track VR25 Bicicleta Reclinada,29995,23617
Machine 6,Escalera sin fin unifitness,50736,30443
Machine 7,Nordick Track Caminadora Comercial 1750,42995,23950
Machine 8,Nordick Track Comercial 9.9 Eliptica,29995,20555
Machine 9,Nordick Track Comercial 9.9 Eliptica,29995,22203
,,347436,
