PROGRAM,FACULTY,# STUDENTS,% STUDENTS,SCHOLARSHIPS HOLDERS (#),SCHOLARSHIP HOLDERS (%),ENGLISH LEVEL
Música,Bellas Artes,324,,15,,Basic
Enfermería,Ciencias de la Salud,487,,44,,Basic
Psicología,Ciencias de la Salud,811,,32,,Median
Medicina,Ciencias de la Salud,1135,,82,,High
Comunicación,Comunicación,649,,14,,High
Derecho,Derecho,1460,,89,,Basic
Gobierno,Economía y Gobierno,324,,6,,Basic
Economía,Economía y Gobierno,487,,18,,Median
Administración y dirección,Empresariales,487,,5,,High
Recursos Humanos,Empresariales,649,,27,,Median
Contaduría,Empresariales,811,,22,,Median
Mercadotecnia,Empresariales,973,,37,,High
Finanzas,Empresariales,1135,,63,,High
Negocios Internacionales,Empresariales,1297,,59,,High
Administración y Hospitalidad,Esdai,487,,9,,Median
Filosofía,Filosofía,324,,4,,Basic
Ing. Mecánica,Ingeniería,324,,8,,High
Ing. Animación,Ingeniería,487,,12,,High
Ing. Mecatrónica,Ingeniería,487,,19,,High
Ing. Innovación,Ingeniería,649,,22,,High
Ing. Tecnologías de la Información,Ingeniería,811,,43,,High
Ing. Industrial,Ingeniería,1135,,79,,High
Pedagogía,Pedagogía,487,,7,,Basic
