Instructions:,,,,,,,
"Calculate the values that are requested for the hourly wage, according to the formulas.",,,,,,,
Consider the following:,,,,,,,
n = number of observations,,,,,,,
xi = each of the data of the variable x,,,,,,,
wi = each of the data of the variable w,,,,,,,
,,Mean,Weighted mean,Geometric mean,Variance,Standard deviation,Asymmetry Coefficient
Hourly wage (x),Total hours (w),,,,,,
20,327,,,,,,
25,250,,,,,,
17,186,,,,,,
21,259,,,,,,
20,477,,,,,,
19,516,,,,,,
19,266,,,,,,
17,300,,,,,,
24,203,,,,,,
25,239,,,,,,
17,336,,,,,,
17,382,,,,,,
20,206,,,,,,
20,347,,,,,,
24,164,,,,,,
21,446,,,,,,
20,315,,,,,,
24,418,,,,,,
