PANAMERICAN TRIPS,,,,,,
EUROPE TRIPS - EXPECTED DEPARTURES,,,,,,
Tour Code,Tour description,Operator code,Operator responsible,Number of passengers,Group type,Amount collected per departure
115,,,,35,,
220,,,,22,,
120,,,,18,,
310,,,,10,,
320,,,,32,,
115,,,,18,,
310,,,,10,,
310,,,,8,,
115,,,,15,,
Tour code,Tour description,Cost per trip,Operator code,,,
105,Spain 3 days,260,A,,,
115,Spain 10 days,520,A,,,
120,France 7 days,540,A,,,
210,France 10 days,550,B,,,
220,Germany 12 days,670,B,,,
305,Greece 10 days,620,C,,,
310,Italy 3 days,245,C,,,
315,Italy 10 days,680,C,,,
320,England 3 days,680,C,,,
Operator code,Operator responsible,,,,,
A,Europamundo,,,,,
B,Iberojet,,,,,
C,España Tour,,,,,
