SALES IN UNITS,,,,,,,,,,,,,,,,,,,
Segment:  Luxury Cars,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Sales Participation,,,,Variation in Sales,,,,,,
Theme,Type,Segment,Brand,Model,Origin,Units Sold 2018,Units Sold 2019,Units Sold 2020,2018,2019,2020,Change in participation 2020 vs 2019,2020 vs 2019,Type of variation,Trend,% Tax,Classification,Car Type,% Tax
Vehicles sales to public,Cars,Luxury,Acura,ILX,Imported,101,161,78,,,,,,,,,,"National Auto, Luxury Segment",0.15
Vehicles sales to public,Cars,Luxury,Acura,TLX,Imported,95,135,70,,,,,,,,,,"National Car, High Segment",0.14
Vehicles sales to public,Cars,Luxury,Alfa Romeo,4C,Imported,2,4,0,,,,,,,,,,"Imported Car, Luxury Segment",0.18
Vehicles sales to public,Cars,Luxury,Alfa Romeo,Giulia,Imported,14,16,18,,,,,,,,,,"Imported Auto, High Segment",0.16
Vehicles sales to public,Cars,Luxury,Alfa Romeo,Stelvio,Imported,33,46,24,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Audi,A1,Imported,202,236,1194,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Audi,A3,Imported,3125,3497,2353,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Audi,A3 Sedán,Imported,194,237,,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Audi,A4,Imported,783,804,414,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Audi,A5,Imported,995,1109,52,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Audi,A5 Coupe,Imported,,,53,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Audi,A6,Imported,150,173,101,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Audi,A7,Imported,134,190,77,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Audi,A8,Imported,31,50,12,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Audi,Q2,Imported,1533,1949,1116,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Audi,Q3,Imported,84,22,146,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Audi,R8,Imported,49,31,67,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Audi,TT Coupe,Imported,27,2,51,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Bentley,Bentayga,Imported,7,10,4,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Bentley,Continental Gt,Imported,3,2,3,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Bentley,Continental GT V8 S,Imported,1,0,1,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Bentley,Flying Spur,Imported,2,1,2,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,BMW,i3,Imported,88,94,81,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,BMW,Serie 1 Hatch,Imported,1103,1549,657,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,BMW,Serie 1 Sedán,Imported,895,,895,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,BMW,Serie 2,Imported,534,666,401,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,BMW,Serie 3,Imported,1386,1864,907,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,BMW,Serie 3-,National,426,145,707,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,BMW,Serie 4,Imported,638,836,440,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,BMW,Serie 5,Imported,366,523,209,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,BMW,Serie 6,Imported,2,2,1,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,BMW,Serie 7,Imported,42,49,35,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,BMW,Serie 8,Imported,34,34,34,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,BMW,Z4-,Imported,139,96,182,,,,,,,,,,,
Vehicles sales to public,Cars,High,Chrysler,Charger,Imported,1204,1922,485,,,,,,,,,,,
Vehicles sales to public,Cars,High,Chrysler,Chrysler 300,Imported,2,0,3,,,,,,,,,,,
Vehicles sales to public,Cars,High,Chrysler,CHRYSLER 300C,Imported,4,5,2,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Ford Motor,Crown Victoria / Police Interceptor,Imported,9,16,1,,,,,,,,,,,
Vehicles sales to public,Cars,High,General Motors,Ats 4p,Imported,18,33,3,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,General Motors,Camaro Convertible,Imported,8,6,9,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,General Motors,Corvette 2  Pts. Convertible,Imported,2,1,3,,,,,,,,,,,
Vehicles sales to public,Cars,High,General Motors,Cts 4 Ptas,Imported,13,19,6,,,,,,,,,,,
Vehicles sales to public,Cars,High,General Motors,Regal,Imported,1,2,0,,,,,,,,,,,
Vehicles sales to public,Cars,High,Honda,Accord 4pts,Imported,2045,2664,1425,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Infiniti,Q50,Imported,171,225,116,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Infiniti,Q60,Imported,36,47,24,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Infiniti,Q70,Imported,8,14,1,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Infiniti,QX30,Imported,14,24,4,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Jaguar,E-Pace,Imported,49,77,20,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Jaguar,F-Pace,Imported,86,135,37,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Jaguar,I-Pace,Imported,12,17,7,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Jaguar,XE,Imported,30,49,10,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Jaguar,XF,Imported,3,3,3,,,,,,,,,,,
Vehicles sales to public,Cars,High,KIA,KIA Óptima,Imported,515,810,219,,,,,,,,,,,
Vehicles sales to public,Cars,High,KIA,Stinger,Imported,224,304,143,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Land Rover,Discovery,Imported,47,76,17,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Land Rover,Discovery Sport,Imported,117,148,85,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Land Rover,Range Rover,Imported,56,70,42,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Land Rover,Range Rover Evoque,Imported,306,323,288,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Land Rover,Range Rover Velar,Imported,204,319,89,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Lincoln,Lincoln Continental,Imported,36,47,25,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Lincoln,MKZ,Imported,3,6,0,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Lincoln,MKZ-,National,55,78,31,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Lincoln,MKZ Hibrido,National,47,60,33,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Lincoln,NAUTILUS,Imported,152,202,102,,,,,,,,,,,
Vehicles sales to public,Cars,High,Mazda,Mazda 6,Imported,849,1061,636,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Mercedes Benz,AMG GT,Imported,50,34,66,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Mercedes Benz,CLA,Imported,1615,1913,1317,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Mercedes Benz,Clase A hatchback,Imported,505,444,566,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Mercedes Benz,Clase A Sedan,Imported,585,,585,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Mercedes Benz,Clase C coupe,Imported,191,,191,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Mercedes Benz,Clase C Sedan,Imported,1402,2006,798,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Mercedes Benz,Clase E coupe,Imported,50,,50,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Mercedes Benz,Clase E sedan,Imported,462,609,315,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Mercedes Benz,Clase S coupe,Imported,2,,2,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Mercedes Benz,Clase S sedan,Imported,68,71,65,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Mercedes Benz,CLS,Imported,65,80,49,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Mercedes Benz,SLC,Imported,45,58,31,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Mini,MINI 3 PTAS,Imported,2683,3144,2221,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Mini,MINI 5 PTAS,Imported,699,941,456,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Mini,MINI CLUBMAN,Imported,201,227,174,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Mini,MINI CONVERTIBLE,Imported,188,249,127,,,,,,,,,,,
Vehicles sales to public,Cars,High,Nissan,Altima,Imported,1215,1707,723,,,,,,,,,,,
Vehicles sales to public,Cars,High,Nissan,Maxima,Imported,226,294,158,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Porsche,Cayman,Imported,77,81,73,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Porsche,Panamera,Imported,46,51,41,,,,,,,,,,,
Vehicles sales to public,Cars,High,Smart,Forfour,Imported,1,1,0,,,,,,,,,,,
Vehicles sales to public,Cars,High,Smart,FORTWO,Imported,15,29,0,,,,,,,,,,,
Vehicles sales to public,Cars,High,Toyota,Camry,Imported,3087,3683,2491,,,,,,,,,,,
Vehicles sales to public,Cars,High,Toyota,GR Supra,Imported,51,44,57,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Toyota,Prius,Imported,5433,5966,4899,,,,,,,,,,,
Vehicles sales to public,Cars,High,Volkswagen,Passat,Imported,515,998,32,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Volvo,S60,Imported,3,4,,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Volvo,S60 III,Imported,270,226,314,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Volvo,S90,Imported,1,2,,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Volvo,V40,Imported,20,20,,,,,,,,,,,,
Vehicles sales to public,Cars,Luxury,Volvo,XC40,Imported,1086,978,1194,,,,,,,,,,,
,,,,General total,,40401,47156,31249,,,,,,,,,,,
