WAREHOUSE NUM,TYPE OF ITEM,PRODUCT DESCRIPTION,UNIT COST,QUANTITY IN STOCK,TAXABLE,VAT,TOTAL COST
WAREHOUSE 1 ,PERSONAL CARE,TOOTHPASTE,15.25,78,,,
WAREHOUSE 2,FOOD,CORN FLAKES,35.5,850,,,
WAREHOUSE 3 ,MEDICINE,TYLENOL,12.5,52,,,
WAREHOUSE 1 ,MEDICINE,TYLENOL,13.25,32,,,
WAREHOUSE 2,MEDICINE,ALKA SELTZER ,1.25,2500,,,
WAREHOUSE 3 ,FOOD,CAN OF PEAS,8.9,65,,,
WAREHOUSE 1 ,FOOD,WHITE SANDWICH BREAD,12.5,75,,,
WAREHOUSE 2,PERSONAL CARE,MOISTURIZING LOTION,24.65,42,,,
WAREHOUSE 3 ,MEDICINE,CORN FLAKES,36,56,,,
WAREHOUSE 1 ,MEDICINE,DESENFRIOL D ,28.75,63,,,
WAREHOUSE 2,FOOD,GRANOLA BARS,3.95,136,,,
