Book code,Author's surname,Author's name,Book title,Gender,Editorial,Format,Cost,Sale price,Units sold January,Units sold February,Units sold March,Units sold April,Sparkline,Initial Inventory,Final Inventory
111,Ruiz Zafón,Carlos,Marina,Novela negra,Planeta,,150,300,41,31,82,34,,759,571
112,Falcones,Ildefonso,La Catedral del Mar,Histórica,Del Bolsillo,,25,75,35,55,57,20,,602,435
113,Foenkinos,David,Hacia la belleza,Romance,Alfaguara,,25,100,11,48,54,86,,893,694
114,Luiselli,Valeria,Los Ingrávidos,Novela corta,Sexto Piso,,25,150,9,38,72,44,,781,618
115,Melchor,Fernanda,Temporada de huracanes,Novela corta,Random House,,100,250,41,6,89,54,,642,452
116,García Márquez,Gabriel,Cien años de Soledad,Novela,Diana,,25,150,83,30,57,88,,888,630
117,Follett,Ken,Los Pilares de la Tierra,Histórica,Random House,,300,400,61,28,19,62,,674,504
118,Ruiz Zafón,Carlos,El Juego del Ángel,Misterio,Planeta,,25,50,7,37,74,68,,648,462
119,Rand,Ayn,El Manantial,Novela Filosófica,Ediciones Orbis,,25,50,35,65,21,80,,724,523
120,Hernández,Miguel,Poesía,Poesía,Seix Barral,,85,100,54,60,1,58,,811,638
121,Follett,Ken,La Boca del Dragón,Suspenso,Grijalvo,,20,30,79,78,5,11,,572,399
122,Salcido,Iván,El Terremoto de 2017,Histórica,Casa de las campanas editores,,20,30,59,41,27,30,,742,585
123,Varios,autores,Cuentos rusos clasicos,Cuentos,Servicios pedagógicos,,75,100,39,15,89,48,,740,549
124,Beevor,Anthony,La Batalla por los puentes,Histórica,Paidós,,25,50,0,41,8,6,,897,842
125,Sánchez Pardós,Daniel,Una Ciudad convulsa,Histórica,Planeta,,90,130,16,35,61,77,,531,342
126,Jones,Sherry,La Joya de Medina,Histórica,Quebecor World,,25,50,68,71,90,27,,879,623
127,Wallace,Irwing,La Palabra,Misterio,Grijalvo,,15,30,31,2,35,47,,548,433
128,Waltari,Mika,El Etrusco,Histórica,Liberduplex,,100,150,3,86,22,5,,692,576
129,González Olivo,Marisol,Leyendas Mexicanas de todos los tiempos,Cuentos,Editores Mexicanos Unidos,,50,75,84,49,39,26,,535,337
130,Anónimo,,Las mil y una noches,Cuentos,Editores Mexicanos Unidos,,50,70,66,87,38,86,,600,323
131,Stevenson,Robert Louis,La Isla del Tesoro,Aventura,Forum SA,,25,50,5,11,89,11,,636,520
132,Twain,Mark,Un Yankee en la Corte del Rey Arturo,Aventura,Forum SA,,20,30,11,7,46,79,,742,599
133,Eurípides,,Tragedias,Tragedia,Secretaría de Eduación Pública,,90,135,64,86,14,23,,516,329
134,Varios,Autores,Cartografías de las Islas Mexicanas,Geografía,Comunicación y ediciones Tracuilo ,,250,350,79,19,72,38,,577,369
135,Azar,Héctor,Entre las horas detenido,Novela,Porrúa,,200,400,5,79,85,67,,858,622
136,Varios,Autores,"México, esplendores de 30 siglos",Histórica,Friends of the arts of Mexico,,400,550,81,54,30,51,,752,536
137,De Saint- Exupéry,Antoine,El Principito,Infantil,Del Bolsillo,,25,60,61,78,65,69,,723,450
138,Vargas Llosa,Mario,La ciudad y los perros,Aventura,Del Bolsillo,,20,50,67,6,59,17,,818,669
139,Marías,Javier,Los enamoramientos,Romance,Del Bolsillo,,150,300,48,86,43,77,,862,608
140,Amkie,Lorena,El club de los perdedores,Juvenil,Rústico,,25,85,23,24,80,10,,797,660
141,Padura,Leonardo,El hombre que amaba a los perros,Histórica,Tusquets,,180,300,4,43,48,46,,823,682
142,Dumas,Alejandro,La dama de las camelias,Romance,Del Bolsillo,,20,55,53,62,46,39,,644,444
143,Kundera,Milan,La insoportable levedad del ser,Novela Filosófica,Tusquets,,150,300,67,1,13,5,,863,777
144,Hesse,Hermann,El lobo estepario,Novela,Rústico,,20,75,77,47,65,30,,750,531
145,Allende,Isabel,El amante japonés,Romance,Plaza Janés,,25,90,11,22,17,18,,562,494
146,Arreola,Juan José,Bestiario,Cuentos,Booket,,50,180,70,82,44,55,,866,615
147,Miller,Madeline,Circe,Histórica,Alianza,,25,70,41,70,18,8,,614,477
,,,,,,,,,1589,1680,1774,1600,,717.8648648648649,37
